,HotelAddress,HotelDetailedFacilities,HotelGeoCoordinates,HotelName,HotelPopularFacilities,HotelPrices,HotelReviewScore,HotelReviewText,HotelReviews,HotelSince,HotelStars,URL
0,"1/2 NO. 35Boswell Place Wellawatte, Wellawatte, 00600 Colombo, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Parking Garage', 'Secured Parking'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Kitchen': ['Dining table', 'Cleaning products', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Washing machine', 'Microwave', 'Refrigerator'], 'Bedroom': ['Wardrobe/Closet', 'Walk-in closet'], 'Bathroom': ['Bidet', 'Slippers', 'Free toiletries', 'Bathtub', 'Shower', 'Toilet paper', 'Linens', 'Additional bathroom', 'Guest bathroom', 'Bathtub or shower', 'Private bathroom', 'Shared bathroom'], 'Living Area': ['Dining area', 'Sofa', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Satellite channels', 'TV'], 'Room Amenities': ['Soundproof', 'Fan', 'Iron', 'Drying rack for clothing', 'Tile/Marble floor', 'Private entrance', 'Interconnecting room(s) available', 'Ironing facilities'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Upper floors accessible by elevator'], 'Outdoors': ['Private pool', 'Balcony'], 'Pool and Spa': ['Swimming Pool', 'Pool With View', 'Rooftop Pool', 'Outdoor Pool (all year)', 'Outdoor Pool'], 'Food & Drink': ['Fruit', 'Bottle of Water', 'Grocery Deliveries\n\n(additional charge)', 'Restaurant'], 'Building Characteristics': ['Private apartment in building'], 'Outdoor & View': ['Pool view'], 'Front Desk Services': ['Baggage Storage', '24-Hour Front Desk'], 'Entertainment & Family Services': [""Kids' TV Networks""], 'Cleaning Services': ['Daily Housekeeping\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)'], 'Shops': ['Convenience Store (on site)', 'Shops (on site)', 'Hair/Beauty Salon'], 'Miscellaneous': ['Air Conditioning', 'All Spaces Non-Smoking (public and private)', 'Soundproof Rooms', 'Elevator', 'Family Rooms'], 'Languages Spoken': ['English', 'Arabic']}","79.8439995649096,6.81475296410496,79.8775364350904,6.92876303589504",Home sweet home,"['Swimming Pool', 'Family Rooms', 'Free Parking', 'Outdoor Pool', 'Free WiFi', 'Swimming Pool', 'Family Rooms', 'Free Parking', 'Outdoor Pool', 'Free WiFi']","['13,768']",9.5,Exceptional,8 reviews,"Home sweet home has been welcoming Booking.com guests since May 1, 2018",,"https://www.booking.com/hotel/lk/home-sweet-home-colombo.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=339244801_120247459_6_0_0&all_sr_blocks=339244801_120247459_6_0_0&room1=A,A&hpos=15&hapos=115&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X115&from=searchresults
;highlight_room=#hotelTmpl"
1,"20 A Guildford Crescent, 00700 Colombo, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet'], 'Outdoors': ['Sun Deck', 'Terrace', 'Garden'], 'Kitchen': ['Shared Kitchen'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Library', 'Game Room'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree public parking is available  at a location nearby (reservation is not needed).'], 'Front Desk Services': ['Lockers', 'Private Check-in/Check-out', 'Concierge Service', 'Ticket Service', 'Tour Desk', '24-Hour Front Desk'], 'Cleaning Services': ['Daily Housekeeping', 'Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'General': ['Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Designated Smoking Area', 'Air Conditioning', 'Wake-up service', 'Tile/Marble floor', 'Car Rental', 'Family Rooms', 'Ironing facilities', 'Non-smoking Rooms']}","79.8421230912209,6.87991936468212,79.8797877598553,6.93375702088432",Bunkyard Hostels,"['Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Free Parking', 'Free WiFi', 'Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Free Parking', 'Free WiFi']","['8,099', '9,719', '10,529', '1,620', '1,620', '1,782', '1,944']",9.2,Wonderful,773 reviews,"Bunkyard Hostels has been welcoming Booking.com guests since Nov 3, 2016",,"https://www.booking.com/hotel/lk/bunkyard-hostels.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=202371106_94738569_2_0_0&all_sr_blocks=202371106_94738569_2_0_0&room1=A,A&hpos=16&hapos=116&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X116&from=searchresults
;highlight_room=#hotelTmpl"
2,"No 226/6, Dias terrace Divulpitiya, 10290 Colombo, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Internet': ['Free!\nWiFi is available in some hotel rooms and is free of charge.'], 'Pets': ['Pets are not allowed.'], 'Outdoors': ['Terrace'], 'Activities': ['Cycling'], 'Transportation': ['Shuttle Service', 'Shuttle Service (additional charge)'], 'Miscellaneous': ['Air Conditioning']}","79.8534881957008,6.78100602766299,79.9374814042992,6.92231957233701",Green Woods,"['Free WiFi', 'Free Parking', 'Terrace', 'Air Conditioning', 'Parking', 'WiFi', 'Parking', 'WiFi', 'Airport Shuttle', 'Parking', 'WiFi', 'Airport Shuttle', 'Parking', 'WiFi', 'Airport Shuttle', 'Free WiFi', 'Free Parking', 'Terrace', 'Air Conditioning']",[],6.4,Review score,344 reviews,"Green Woods has been welcoming Booking.com guests since Mar 27, 2017",,"https://www.booking.com/hotel/lk/green-woods-colombo.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&soh=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=&all_sr_blocks=&room1=A,A&soldout=0,0&hpos=17&hapos=117&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X117&from=searchresults
;highlight_room=#no_availability_msg"
3,"Averihena Road, 00600 Colombo, Sri Lanka","{'Bathroom': ['Linens', 'Towels', 'Private bathroom', 'Toilet', 'Shower'], 'Pets': ['Pets are not allowed.'], 'Food & Drink': ['Bottle of Water\n\n(additional charge)'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).', 'Street Parking'], 'Services': ['Airport Shuttle', 'Room Service'], 'General': ['Air Conditioning', 'Family Rooms', 'Ironing facilities', 'Non-smoking Rooms']}","79.8380391239473,6.82779104261438,79.9199195266417,6.9417931",Yoho Solid Hotel Polhengoda,"['Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Free Parking', 'Room Service', 'Free WiFi', 'Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Free Parking', 'Room Service', 'Free WiFi']","['6,236', '7,483']",6.4,Review score,349 reviews,"Yoho Solid Hotel Polhengoda has been welcoming Booking.com guests since Mar 16, 2018",,"https://www.booking.com/hotel/lk/yoho-solid-colombo-05.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=316119102_120888411_3_0_0&all_sr_blocks=316119102_120888411_3_0_0&room1=A,A&hpos=18&hapos=118&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X118&from=searchresults
;highlight_room=#hotelTmpl"
4,"129 Kynsey Road, 00700 Colombo, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Bidet', 'Bathtub or shower', 'Slippers', 'Private bathroom', 'Free toiletries', 'Bathrobe', 'Hairdryer'], 'Bedroom': ['Wardrobe/Closet'], 'Outdoors': ['Outdoor Furniture', 'Outdoor furniture', 'Sun Deck', 'Terrace', 'Garden'], 'Pool and Spa': ['Swimming Pool', 'Spa Facilities', 'Outdoor Pool'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Cooking Class\n\n(additional charge)', 'Tour or Class About Local Culture\n\n(additional charge)', 'Entertainment Staff', 'Library'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'Satellite channels', 'Telephone', 'TV'], 'Food & Drink': ['Chocolate/Cookies\n\n(additional charge)', 'Fruit\n\n(additional charge)', 'Bottle of Water', ""Kids' Meals\n\n(additional charge)"", 'Special Diet Meals (upon request)', 'Breakfast in the Room', 'Restaurant', 'Minibar'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Street Parking', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Lockers', 'Private Check-in/Check-out', 'Concierge Service', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Cleaning Services': ['Suit Press\n\n(additional charge)', 'Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying'], 'General': ['Shuttle Service', 'Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Air Conditioning', 'Wake-up service', 'Hardwood/Parquet floors', 'Heating', 'Car Rental', 'Packed Lunches', 'Soundproof Rooms', 'Safe', 'VIP Room Facilities', 'Fan', 'Non-smoking Rooms', 'Safe', 'Room Service']}","79.8436184024467,6.87555581124031,79.9073930455773,6.94996521264701",Maniumpathy Hotel,"['Swimming Pool', 'Airport Shuttle', 'Non-smoking Rooms', 'Free Parking', 'Room Service', 'Outdoor Pool', 'Exceptional Breakfast', 'Swimming Pool', 'Airport Shuttle', 'Non-smoking Rooms', 'Free Parking', 'Room Service', 'Outdoor Pool', 'Exceptional Breakfast']","['41,791', '52,320', '52,320', '52,320', '52,320', '62,686']",9.3,Wonderful,35 reviews,"Maniumpathy Hotel has been welcoming Booking.com guests since Jan 5, 2016",,"https://www.booking.com/hotel/lk/maniumpathy.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=163677305_107874455_2_1_0&all_sr_blocks=163677305_107874455_2_1_0&room1=A,A&hpos=19&hapos=119&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X119&from=searchresults
;highlight_room=#hotelTmpl"
5,"11, Upatissa Road, Colombo 04, 00400 Colombo, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Towels/Sheets (extra fee)', 'Bathtub or shower', 'Private bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'View': ['City view'], 'Outdoors': ['BBQ Facilities\n\n(additional charge)'], 'Kitchen': ['Cleaning products', 'Electric kettle', 'Refrigerator'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Upper floors accessible by elevator'], 'Living Area': ['Sofa', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'Satellite channels', 'Telephone', 'TV'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', ""Kids' Meals\n\n(additional charge)"", 'Snack Bar', 'Breakfast in the Room', 'Restaurant', 'Minibar', 'Tea/Coffee maker'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Lockers', 'Concierge Service', 'Baggage Storage', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Cleaning Services': ['Daily Housekeeping', 'Suit Press\n\n(additional charge)', 'Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)', 'Business Center\n\n(additional charge)', 'Meeting/Banquet Facilities\n\n(additional charge)'], 'General': ['Shuttle Service', 'Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Designated Smoking Area', 'Air Conditioning', 'All Spaces Non-Smoking (public and private)', 'Wake-up service', 'Car Rental', 'Laptop safe', 'Packed Lunches', 'Safe', 'Elevator', 'VIP Room Facilities', 'Family Rooms', 'Facilities for Disabled Guests', 'Ironing facilities', 'Non-smoking Rooms', 'Newspapers', 'Safe', 'Room Service'], 'Languages Spoken': ['Hindi', 'English', 'Arabic']}","79.8350108102832,6.8503921381425,79.8751477897167,6.9288338618575","Ceylon City Hotel,Colombo","['Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Free Parking', 'Room Service', 'Facilities for Disabled Guests', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast', 'Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Free Parking', 'Room Service', 'Facilities for Disabled Guests', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast']","['7,830', '8,935', '9,788', '11,169', '7,441', '7,898', '9,303', '9,873', '9,136', '9,738', '11,420', '12,173', '7,840', '8,572', '9,800', '10,715', '9,136', '11,420', '11,544', '13,252', '14,431', '16,564', '10,508', '12,215', '13,135', '15,268', '12,048', '13,553', '15,059', '16,941']",7.5,Good,344 reviews,"Ceylon City Hotel,Colombo has been welcoming Booking.com guests since Sept 24, 2014",3-star hotel,"https://www.booking.com/hotel/lk/ceylon-city.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=116391102_89106896_2_2_0&all_sr_blocks=116391102_89106896_2_2_0&room1=A,A&hpos=20&hapos=120&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X120&from=searchresults
;highlight_room=#hotelTmpl"
6,"4/3 Malalasekera Place, 00700 Colombo, Sri Lanka","{'Bathroom': ['Linens', 'Towels', 'Toilet', 'Free toiletries', 'Shower'], 'Outdoors': ['Sun Deck', 'Terrace', 'Garden'], 'Kitchen': ['Shared Kitchen'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Services': ['Shared Lounge/TV Area', 'Baggage Storage', 'Laundry\n\n(additional charge)', '24-Hour Front Desk', 'Room Service'], 'General': ['Convenience Store (on site)', 'Designated Smoking Area', 'Air Conditioning', 'Shops (on site)', 'Tile/Marble floor', 'Chapel/Shrine', 'Fan', 'Non-smoking Rooms']}","79.8514897437249,6.85496044296872,79.8874788670387,6.94630331260725",Olu Colombo Villa,"['Non-smoking Rooms', 'Free Parking', 'Room Service', 'Free WiFi', '24-Hour Front Desk', 'Good Breakfast', 'Non-smoking Rooms', 'Free Parking', 'Room Service', 'Free WiFi', '24-Hour Front Desk', 'Good Breakfast']","['7,257', '8,293', '4,406', '4,924']",8.8,Excellent,177 reviews,"Olu Colombo Villa has been welcoming Booking.com guests since Nov 10, 2015",3 stars,"https://www.booking.com/hotel/lk/olu-colombo-villa.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=156605212_109533440_0_0_0&all_sr_blocks=156605212_109533440_0_0_0&room1=A,A&hpos=21&hapos=121&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X121&from=searchresults
;highlight_room=#hotelTmpl"
7,"Galle Road 466/15 CEY CAN Building 5th floor colombo -03, Kollupitiya, 00300 Colombo, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Towels/Sheets (extra fee)', 'Toilet', 'Free toiletries', 'Shower'], 'Bedroom': ['Extra long beds (> 6.5 ft)'], 'View': ['View'], 'Outdoors': ['Outdoor Furniture'], 'Kitchen': ['Shared Kitchen', 'Electric kettle', 'Refrigerator'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Living Area': ['Dining area', 'Fireplace'], 'Food & Drink': ['Bottle of Water\n\n(additional charge)'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['No parking available.', 'Street Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)'], 'Front Desk Services': ['Lockers', 'Baggage Storage', 'Ticket Service', 'Tour Desk', '24-Hour Front Desk'], 'Cleaning Services': ['Daily Housekeeping', 'Ironing Service\n\n(additional charge)'], 'General': ['Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Designated Smoking Area', 'Air Conditioning', 'Tile/Marble floor', 'Private entrance', 'Elevator', 'Heating', 'Fan', 'Family Rooms', 'Ironing facilities', 'Non-smoking Rooms', 'Iron', 'Safe', 'Room Service']}","79.833107533777,6.87605155733318,79.8697981576026,6.93323515267513",Port View Hostel Colombo,"['Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Room Service', 'Free WiFi', 'Good Breakfast', 'Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Room Service', 'Free WiFi', 'Good Breakfast']","['5,831', '6,196', '7,289', '5,467', '6,155', '6,479', '5,831', '1,782']",8.4,Very Good,43 reviews,"Port View Hostel Colombo has been welcoming Booking.com guests since May 4, 2018",,"https://www.booking.com/hotel/lk/port-view-hostel-colombo.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=344651602_121205458_2_41_0&all_sr_blocks=344651602_121205458_2_41_0&room1=A,A&hpos=22&hapos=122&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X122&from=searchresults
;highlight_room=#hotelTmpl"
8,"Galle Road Marine House, 594/1, Colombo 3, Kollupitiya, 00300 Colombo, Sri Lanka","{'Bathroom': ['Linens', 'Towels', 'Free toiletries'], 'Kitchen': ['Shared Kitchen'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Movie Nights', 'Library'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', 'Breakfast in the Room', 'Restaurant', 'Perfect Coffee!'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['No parking available.', 'Street Parking'], 'Front Desk Services': ['Lockers', 'Private Check-in/Check-out', 'Baggage Storage', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Board Games/Puzzles'], 'Business Facilities': ['Fax/Photocopying', 'Business Center\n\n(additional charge)', 'Meeting/Banquet Facilities\n\n(additional charge)'], 'General': ['Convenience Store (on site)', 'Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Designated Smoking Area', 'Air Conditioning', 'All Spaces Non-Smoking (public and private)', 'Packed Lunches', 'Elevator', 'Family Rooms', 'Non-smoking Rooms', 'Iron', 'Room Service'], 'Languages Spoken': ['Portuguese', 'English']}","79.8363703701837,6.86464979260226,79.8697981576026,6.935303",My Little Island Hostel,"['Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Room Service', 'Free WiFi', 'Very Good Breakfast', 'Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Room Service', 'Free WiFi', 'Very Good Breakfast']","['3,240', '2,916', '6,479', '7,289', '8,099', '5,669', '10,529', '11,339', '12,149', '12,958', '13,768', '1,620', '1,944']",9.4,Wonderful,149 reviews,"My Little Island Hostel has been welcoming Booking.com guests since May 16, 2018",,"https://www.booking.com/hotel/lk/my-little-island-hostel.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=350912105_119440363_2_1_0&all_sr_blocks=350912105_119440363_2_1_0&room1=A,A&hpos=23&hapos=123&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X123&from=searchresults
;highlight_room=#hotelTmpl"
9,"Union Place 84/4, Union Place, Colombo 02, 00200 Colombo, Sri Lanka","{'Parking': ['Free!\nFree public parking is available  on site (reservation is needed).'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Pets': ['Pets are not allowed.'], 'Food & Drink': ['Grocery Deliveries'], 'Transportation': ['Airport Shuttle (additional charge)'], 'Front Desk Services': ['24-Hour Front Desk'], 'Miscellaneous': ['Air Conditioning', 'Non-smoking Rooms']}","79.84426,6.90376352721392,79.866952,6.93933247278608",Heart of Colombo (Full Furnished),"['Airport Shuttle', 'Non-smoking Rooms', 'Free Parking', 'Free WiFi', '24-Hour Front Desk', 'Parking', 'WiFi', 'Airport Shuttle', 'Parking', 'WiFi', 'Airport Shuttle', 'WiFi', 'Airport Shuttle', 'Parking', 'WiFi', 'Airport Shuttle', 'Airport Shuttle', 'Non-smoking Rooms', 'Free Parking', 'Free WiFi', '24-Hour Front Desk']",[],8.8,Excellent,12 reviews,"Heart of Colombo (Full Furnished) has been welcoming Booking.com guests since May 25, 2018",,"https://www.booking.com/hotel/lk/heart-of-colombo-full-furnished.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&soh=1&srpvid=2422446d3899038e&srepoch=1536313437&highlighted_blocks=&all_sr_blocks=&room1=A,A&soldout=0,0&hpos=24&hapos=124&dest_type=city&dest_id=-2214877&srfid=870ff8ab39ae985ba4d5bf28a7f0f416ffb28741X124&from=searchresults
;highlight_room=#no_availability_msg"
