,HotelAddress,HotelDetailedFacilities,HotelGeoCoordinates,HotelName,HotelPopularFacilities,HotelPrices,HotelReviewScore,HotelReviewText,HotelReviews,HotelSince,HotelStars,URL
0,"490/4,Recardan,Adamspeak Road (delhouse road )Nallathanniya, 22070 Maskeliya, , 22070 Maskeliya, Sri Lanka","{'Outdoors': ['Garden'], 'Health & Wellness Facilities': ['Beach Umbrellas'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Hot tub'], 'Food & Drink': ['Chocolate/Cookies\n\n(additional charge)', 'Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', 'Very Good Coffee!'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Services': ['Shared Lounge/TV Area', 'Car Rental', 'Meeting/Banquet Facilities\n\n(additional charge)', 'Room Service'], 'Entertainment & Family Services': [""Kids' TV Networks""], 'General': ['Shops (on site)', 'Fan', 'Family Rooms', 'Non-smoking Rooms']}","80.5222172423724,6.82702576182653,80.5584727839109,6.86295659497272",Narra Homestay,[],"['2,754', '2,916', '3,402', '1,944']",8.6,Excellent,94 reviews,"Narra Homestay has been welcoming Booking.com guests since Apr 3, 2017",,"https://www.booking.com/hotel/lk/narra-homestay.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=227630107_110516494_2_0_0&all_sr_blocks=227630107_110516494_2_0_0&room1=A,A&hpos=17&hapos=117&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX117&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=23.8#hotelTmpl"
1,"Ellawalagodella Kukuleganga, 12214 Agalawatta, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Towels/Sheets (extra fee)', 'Private bathroom', 'Toilet', 'Free toiletries', 'Shared bathroom', 'Shower'], 'Outdoors': ['Outdoor furniture', 'Sun Deck', 'Barbecue', 'BBQ Facilities', 'Garden'], 'Kitchen': ['Shared Kitchen', 'Dining table'], 'Common Areas': ['Shared Lounge/TV Area', 'Library'], 'Room Amenities': ['Drying rack for clothing', 'Fold-up bed', 'Mosquito net', 'Safe'], 'Health & Wellness Facilities': ['Spa\n\n(additional charge)'], 'Outdoor & View': ['River view', 'Mountain view', 'View'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Accessibility': ['Entire unit wheelchair accessible', 'Entire unit located on ground floor'], 'Activities': ['Water Sports Facilities (on site)', 'Horseback Riding', 'Cycling', 'Hiking', 'Canoeing', 'Fishing'], 'Food & Drink': ['Breakfast in the Room', 'Room Service', 'Restaurant', 'Tea/Coffee maker'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Transportation': ['Airport Shuttle (free)', 'Bikes Available (free)', 'Car Rental', 'Bicycle Rental (additional charge)'], 'Cleaning Services': ['Daily Housekeeping', 'Shoeshine', 'Ironing Service'], 'Languages Spoken': ['Russian', 'English']}","80.2228913318841,6.52262943444837,80.2591242778572,6.55856026759457",Monsoon Adventure Park,[],"['17,056', '21,867', '12,246', '21,867']",10,Cleanliness,1 review,"Monsoon Adventure Park has been welcoming Booking.com guests since Apr 6, 2017",,"https://www.booking.com/hotel/lk/monsoon-adventure-park.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=227954201_99477856_2_1_0&all_sr_blocks=227954201_99477856_2_1_0&room1=A,A&hpos=18&hapos=118&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX118&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=23.6#hotelTmpl"
2,"195 upcot road, 22070 Maskeliya, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Toilet', 'Shower'], 'Bedroom': ['Extra long beds (> 6.5 ft)'], 'Outdoors': ['BBQ Facilities'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Activities': ['Hiking\n\n(additional charge)', 'Fishing\n\n(additional charge)'], 'Living Area': ['Sofa'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Daily Housekeeping', 'Baggage Storage'], 'General': ['Private entrance', 'Fan', 'Family Rooms', 'Iron']}","80.5308392793651,6.8257055834269,80.567094720635,6.8616364165731",Thamara Rest,[],"['3,240', '4,859', '2,430']",10,Cleanliness,2 reviews,"Thamara Rest has been welcoming Booking.com guests since Nov 6, 2017",,"https://www.booking.com/hotel/lk/thamara-rest.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=281531501_107268191_2_0_0&all_sr_blocks=281531501_107268191_2_0_0&room1=A,A&hpos=19&hapos=119&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX119&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=24.4#hotelTmpl"
3,"The stream,Niggaha,Bulathsinhala., 12300 Atura, Sri Lanka","{'Bathroom': ['Private bathroom', 'Bathtub'], 'View': ['View'], 'Outdoors': ['Balcony', 'Garden'], 'Pets': ['Free!\nPets are allowed on request. No extra charges.'], 'Media & Technology': ['Flat-screen TV'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Room Service'], 'General': ['Air Conditioning', 'Family Rooms', 'Non-smoking Rooms']}","80.1610165730929,6.6307815834269,80.1972574269071,6.6667124165731",The stream,[],"['25,917']",,,,"The stream has been welcoming Booking.com guests since Aug 18, 2018",,"https://www.booking.com/hotel/lk/the-stream.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=394981401_122868645_8_0_0&all_sr_blocks=394981401_122868645_8_0_0&room1=A,A&hpos=20&hapos=120&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX120&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=24.8#hotelTmpl"
4,"No. 21/5 Norton Road, 22070 Maskeliya, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Towels/Sheets (extra fee)', 'Slippers', 'Private bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower'], 'View': ['Mountain view', 'Garden view'], 'Outdoors': ['Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'BBQ Facilities\n\n(additional charge)', 'Terrace', 'Garden'], 'Kitchen': ['Electric kettle'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Free!\nPets are allowed on request. No extra charges.'], 'Activities': ['Happy Hour\n\n(additional charge)', 'Walking Tours\n\n(additional charge)', 'Badminton Equipment\n\n(additional charge)', 'Hiking', 'Bicycle Rental (additional charge)', 'Playground', 'Fishing\n\n(additional charge)'], 'Living Area': ['Dining area', 'Sitting area'], 'Media & Technology': ['Telephone'], 'Food & Drink': ['Chocolate/Cookies\n\n(additional charge)', 'Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', ""Kids' Meals\n\n(additional charge)"", 'Breakfast in the Room', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Front Desk Services': ['Lockers', 'Private Check-in/Check-out', 'ATM On Site', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Baby safety gates'], 'Cleaning Services': ['Daily Housekeeping\n\n(additional charge)', 'Suit Press\n\n(additional charge)', 'Ironing Service\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'General': ['Shuttle Service', 'Grocery Deliveries\n\n(additional charge)', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Designated Smoking Area', 'All Spaces Non-Smoking (public and private)', 'Shops (on site)', 'Mosquito net', 'Wake-up service', 'Tile/Marble floor', 'Private entrance', 'Fan', 'Family Rooms', 'Hair/Beauty Salon', 'Ironing facilities', 'Non-smoking Rooms', 'Iron', 'Newspapers\n\n(additional charge)', 'Safe', 'Room Service']}","80.4652664548418,6.68379462891396,80.6785035451582,6.98950137108604",Heaven Hills Guest House,[],"['4,050', '4,050']",9.5,Exceptional,74 reviews,"Heaven Hills Guest House has been welcoming Booking.com guests since Nov 28, 2017",,"https://www.booking.com/hotel/lk/heaven-hills-guest-house.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=287193702_110866411_2_41_0&all_sr_blocks=287193702_110866411_2_41_0&room1=A,A&hpos=21&hapos=121&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX121&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=25.6#hotelTmpl"
5,"No.196, Upcot road, 22070 Maskeliya, Sri Lanka","{'Bathroom': ['Towels'], 'Outdoors': ['Outdoor Furniture', 'Outdoor furniture'], 'Pool and Spa': ['Pool Towels'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Activities': ['Walking Tours\n\n(additional charge)'], 'Living Area': ['Dining area'], 'Food & Drink': ['On-site Coffee Shop', 'Chocolate/Cookies\n\n(additional charge)', 'Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', 'Snack Bar', 'Breakfast in the Room', 'Restaurant', 'Good Coffee!'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Transportation': ['Airport Drop-off\n\n(additional charge)'], 'Front Desk Services': ['Private Check-in/Check-out', 'Baggage Storage', 'Tour Desk', 'Currency Exchange', '24-Hour Front Desk'], 'Cleaning Services': ['Ironing Service\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'General': ['Grocery Deliveries\n\n(additional charge)', 'Convenience Store (on site)', 'Shared Lounge/TV Area', 'Designated Smoking Area', 'Shops (on site)', 'Wake-up service', 'Car Rental', 'Airport Shuttle', 'Non-smoking Rooms', 'Room Service'], 'Languages Spoken': ['Hindi', 'English']}","80.5248938966542,6.76297116404775,80.6172240804882,6.89729617608807",River view inn,[],"['2,349', '2,349', '3,564']",8.9,Excellent,164 reviews,"River view inn has been welcoming Booking.com guests since Mar 7, 2017",,"https://www.booking.com/hotel/lk/river-view-inn.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=220001103_115970128_2_1_0&all_sr_blocks=220001103_115970128_2_1_0&room1=A,A&hpos=22&hapos=122&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX122&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=25.0#hotelTmpl"
6,"Singharaja Road, Kudawa, Weddagala, 70450 Kudawe, Sri Lanka","{'Outdoors': ['BBQ Facilities', 'Terrace', 'Garden'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Cooking Class', 'Tour or Class About Local Culture', 'Walking Tours', 'Hiking\n\nOff-site'], 'Food & Drink': ['On-site Coffee Shop', 'Chocolate/Cookies', 'Fruit', 'Bottle of Water\n\n(additional charge)', 'Kid-Friendly Buffet', ""Kids' Meals"", 'Special Diet Meals (upon request)', 'Snack Bar', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in some hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree public parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Services': ['Grocery Deliveries', 'Vending Machine (snacks)', 'Packed Lunches', 'Express Check-in/Check-out', 'Ironing Service', 'Dry Cleaning', '24-Hour Front Desk', 'Room Service'], 'General': ['Air Conditioning', 'Family Rooms', 'Non-smoking Rooms']}","80.3956327498942,6.4331025834269,80.4318592501057,6.4690334165731",Birds Paradise Hotel,[],"['13,768', '16,198', '17,818', '23,487', '9,719']",7.9,Good,27 reviews,"Birds Paradise Hotel has been welcoming Booking.com guests since Jul 15, 2014",,"https://www.booking.com/hotel/lk/birds-paradise.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=91011402_107831617_0_41_0&all_sr_blocks=91011402_107831617_0_41_0&room1=A,A&hpos=23&hapos=123&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX123&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=25.6#hotelTmpl"
7,"Kohiladeniya Estate , Panawela Road, 70600 Eheliyagoda, Sri Lanka","{'Bathroom': ['Towels', 'Private bathroom', 'Toilet', 'Shower'], 'Outdoors': ['Outdoor Furniture', 'Sun Deck', 'Terrace', 'Garden'], 'Kitchen': ['Dining table', 'Cleaning products'], 'Accessibility': ['Entire unit located on ground floor'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Cycling', 'Hiking'], 'Living Area': ['Sitting area'], 'Food & Drink': ['Bottle of Water\n\n(additional charge)', 'Breakfast in the Room', 'Restaurant'], 'Internet': ['No internet access available.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Express Check-in/Check-out', '24-Hour Front Desk'], 'Cleaning Services': ['Daily Housekeeping'], 'Business Facilities': ['Meeting/Banquet Facilities\n\n(additional charge)'], 'General': ['Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Air Conditioning', 'Wake-up service', 'Car Rental', 'Packed Lunches', 'Fan', 'Family Rooms', 'Non-smoking Rooms', 'Room Service']}","80.2522742543808,6.84750216047969,80.2885313536534,6.88343299362589",Lotus Resort Eheliyagoda,[],"['1,814', '2,592', '2,835', '4,050', '3,175', '4,535']",5.4,,,"Lotus Resort Eheliyagoda has been welcoming Booking.com guests since Jan 2, 2017",,"https://www.booking.com/hotel/lk/lotus-resort.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=190547303_119475374_0_2_0&all_sr_blocks=190547303_119475374_0_2_0&room1=A,A&hpos=24&hapos=124&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX124&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=25.2#hotelTmpl"
8,"Bulathsinhala - Mathugama Road Opsada hotel, 12400 Pahalawelgama, Sri Lanka","{'Bathroom': ['Walk-in Shower', 'Towels', 'Towels/Sheets (extra fee)', 'Bathtub or shower', 'Shared toilet', 'Private bathroom', 'Toilet', 'Free toiletries', 'Shower'], 'View': ['Mountain view', 'View'], 'Outdoors': ['Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'Balcony'], 'Kitchen': ['Dining table'], 'Accessibility': ['Roll-in Shower'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Activities': ['Bike Tours\n\n(additional charge)', 'Walking Tours', 'Hiking\n\n(additional charge)'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water', 'Special Diet Meals (upon request)', 'Breakfast in the Room'], 'Internet': ['No internet access available.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Grocery Deliveries', 'Daily Housekeeping', 'Private Check-in/Check-out', 'Wake-up service', 'Car Rental', 'Packed Lunches', 'Express Check-in/Check-out', 'Ironing Service', 'Laundry'], 'General': ['Air Conditioning', 'Tile/Marble floor', 'Fan', 'Ironing facilities', 'Non-smoking Rooms', 'Safe'], 'Languages Spoken': ['Hindi', 'English']}","80.1564673180727,6.6124349868681,80.1927068210875,6.6483658200143",Opsada,[],"['3,888', '4,130', '4,373', '4,616', '4,859', '3,645']",,,,"Opsada has been welcoming Booking.com guests since Apr 6, 2018",,"https://www.booking.com/hotel/lk/opsada.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=330729401_115890284_2_42_0&all_sr_blocks=330729401_115890284_2_42_0&room1=A,A&hpos=25&hapos=125&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX125&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=25.7#hotelTmpl"
9,"No 64 Upcot Road, 22070 Maskeliya, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Slippers', 'Private bathroom', 'Toilet', 'Hairdryer', 'Shower'], 'Bedroom': ['Extra long beds (> 6.5 ft)'], 'View': ['Mountain view', 'Garden view', 'Lake view'], 'Outdoors': ['Outdoor furniture', 'BBQ Facilities\n\n(additional charge)', 'Balcony'], 'Kitchen': ['Cleaning products', 'Electric kettle'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Food & Drink': [""Kids' Meals\n\n(additional charge)"", 'Breakfast in the Room', 'Restaurant', 'Good Coffee!'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Services': ['Grocery Deliveries', 'Daily Housekeeping', 'Airport Shuttle (additional charge)', 'Baggage Storage', 'Wake-up service', '24-Hour Front Desk'], 'General': ['Mosquito net', 'Private entrance', 'Fan', 'Family Rooms', 'Non-smoking Rooms', 'Iron']}","80.5098429,6.62528479482559,80.629517766275,7.04447317027175",Butterfly Mountain Lake Side,[],"['5,183', '5,831', '6,479', '4,535']",8.9,Excellent,75 reviews,"Butterfly Mountain Lake Side has been welcoming Booking.com guests since Jul 31, 2017",,"https://www.booking.com/hotel/lk/butterfly-mountain-lake-side-maskeliya.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=cd16472b58f5026c&srepoch=1536314839&highlighted_blocks=258739302_104697937_2_1_0&all_sr_blocks=258739302_104697937_2_1_0&room1=A,A&hpos=26&hapos=126&dest_type=city&dest_id=-2235153&srfid=e218d198b602b3755c6ea1bfecbeb72043fc1b2fX126&from=searchresults
;highlight_room=;spdest=ci/-2235153;spdist=25.3#hotelTmpl"
