,HotelAddress,HotelDetailedFacilities,HotelGeoCoordinates,HotelName,HotelPopularFacilities,HotelPrices,HotelReviewScore,HotelReviewText,HotelReviews,HotelSince,HotelStars,URL
0,"no-193, pitiwella, boossa, 80270 Galle, Sri Lanka","{'Outdoors': ['Outdoor Furniture', 'Beachfront', 'BBQ Facilities\n\n(additional charge)'], 'Health & Wellness Facilities': ['Beach Umbrellas\n\n(additional charge)'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Beach', 'Snorkeling\n\nOff-site\n(additional charge)', 'Diving\n\nOff-site\n(additional charge)', 'Cycling\n\nOff-site', 'Bicycle Rental (additional charge)', 'Fishing\n\nOff-site\n(additional charge)'], 'Food & Drink': ['Bottle of Water\n\n(additional charge)', 'Snack Bar', 'Bar', 'Restaurant', 'Good Coffee!'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  at a location nearby (reservation is not needed).'], 'Services': ['Shuttle Service', 'Daily Housekeeping', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Car Rental', 'Room Service'], 'General': ['Adults Only', 'Non-smoking Rooms'], 'Languages Spoken': ['Russian', 'English']}","80.0922693555657,6.007768,80.243509,6.12856985393515",Back Pack Beach Hostel and Guest House,"['Airport Shuttle', 'Free Parking', 'Non-smoking Rooms', 'Room Service', 'Free WiFi', 'Beachfront', 'Bar', 'Parking', 'WiFi', 'Airport Shuttle', 'Parking', 'WiFi', 'Airport Shuttle', 'Parking', 'WiFi', 'Parking', 'WiFi', 'Airport Shuttle', 'Airport Shuttle', 'Free Parking', 'Non-smoking Rooms', 'Room Service', 'Free WiFi', 'Beachfront', 'Bar']",[],8.9,Excellent,132 reviews,"Back Pack Beach Hostel and Guest House has been welcoming Booking.com guests since Nov 17, 2016",,"https://www.booking.com/hotel/lk/back-pack-beach-hostel-and-guest-house.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&soh=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=&all_sr_blocks=&room1=A,A&soldout=0,0&hpos=31&hapos=281&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X281&from=searchresults
;highlight_room=#no_availability_msg"
1,"No 551 southern coart manavila, walahanduwa, 80000 Galle, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Kitchen': ['Dining table', 'Cleaning products', 'Oven', 'Electric kettle', 'Washing machine', 'Microwave', 'Refrigerator'], 'Bathroom': ['Towels', 'Towels/Sheets (extra fee)', 'Slippers', 'Shower', 'Toilet paper', 'Additional bathroom'], 'Living Area': ['Dining area', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'Telephone', 'TV', 'Pay-per-view channels'], 'Room Amenities': ['Mosquito net', 'Fan', 'Iron', 'Drying rack for clothing', 'Tile/Marble floor', 'Ironing facilities'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Entire unit located on ground floor'], 'Outdoors': ['Sun Deck', 'Patio', 'Balcony', 'Garden'], 'Food & Drink': ['Tea/Coffee maker'], 'Building Characteristics': ['Detached'], 'Transportation': ['Airport Shuttle (additional charge)', 'Car Rental'], 'Outdoor & View': ['Garden view', 'View'], 'Entertainment & Family Services': ['Baby safety gates', 'Books, DVDs or music for children', 'Child safety socket covers'], 'Cleaning Services': ['Daily Housekeeping', 'Laundry'], 'Miscellaneous': ['Designated Smoking Area', 'Non-smoking Rooms']}","80.2837880241302,6.06755403772759,80.319989146051,6.10348487087379",Villa505,"['Airport Shuttle', 'Free Parking', 'Non-smoking Rooms', 'Free WiFi', 'Airport Shuttle', 'Free Parking', 'Non-smoking Rooms', 'Free WiFi']","['16,198']",,,,"Villa505 has been welcoming Booking.com guests since Apr 19, 2017",,"https://www.booking.com/hotel/lk/villa505.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=230828101_99984226_5_0_0&all_sr_blocks=230828101_99984226_5_0_0&room1=A,A&hpos=32&hapos=282&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X282&from=searchresults
;highlight_room=#hotelTmpl"
2,"No: 190Ganehena unawatuna, 80600 Galle, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Towels/Sheets (extra fee)', 'Toilet', 'Shower'], 'View': ['Garden view', 'View'], 'Outdoors': ['Beachfront', 'Terrace', 'Garden'], 'Room Amenities': ['Sofa bed', 'Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Walking Tours', 'Beach', 'Snorkeling\n\nOff-site', 'Diving\n\nOff-site', 'Cycling\n\nOff-site'], 'Living Area': ['Sofa', 'Sitting area'], 'Food & Drink': ['Fruit', 'Bottle of Water', 'Bar'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Street Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Services': ['Daily Housekeeping', 'Airport Shuttle (additional charge)', 'Private Check-in/Check-out', 'Ironing Service', 'Dry Cleaning', 'Laundry\n\n(additional charge)'], 'General': ['Air Conditioning', 'Mosquito net', 'Soundproof', 'Private entrance', 'Soundproof Rooms', 'Ironing facilities', 'Iron']}","80.2350800746974,5.9887805834269,80.2712759253027,6.0247114165731",No:190 homestay,"['Airport Shuttle', 'Free Parking', 'Free WiFi', 'Beachfront', 'Bar', 'Airport Shuttle', 'Free Parking', 'Free WiFi', 'Beachfront', 'Bar']","['8,099', '8,909']",,,,"No:190 homestay has been welcoming Booking.com guests since Jul 19, 2018",,"https://www.booking.com/hotel/lk/no-190-homestay.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=382388801_121059308_2_0_0&all_sr_blocks=382388801_121059308_2_0_0&room1=A,A&hpos=33&hapos=283&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X283&from=searchresults
;highlight_room=#hotelTmpl"
3,"Galle-Deniyaya-Madampe Highway, 80000 Galle, Sri Lanka","{'Bathroom': ['Toilet paper', 'Bathtub or shower', 'Toilet', 'Free toiletries', 'Shower'], 'Kitchen': ['Kitchenware'], 'Accessibility': ['Toilet With Grab Rails', 'Entire unit located on ground floor'], 'Pets': ['Pets are not allowed.'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Services': ['Airport Shuttle (additional charge)'], 'General': ['Private entrance', 'Fan']}","80.170361,5.99962307873064,80.3134892407074,6.065559",Mango Tree House,"['Airport Shuttle', 'Free Parking', 'Free WiFi', 'Airport Shuttle', 'Free Parking', 'Free WiFi']","['2,430', '4,050']",9.2,,,"Mango Tree House has been welcoming Booking.com guests since Feb 18, 2018",,"https://www.booking.com/hotel/lk/mango-tree-house-galle.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=312265502_113386147_2_0_0&all_sr_blocks=312265502_113386147_2_0_0&room1=A,A&hpos=34&hapos=284&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X284&from=searchresults
;highlight_room=#hotelTmpl"
4,"Rataulugedara watta, Godakanda, Karapitiya, Galle, 80000 Galle, Sri Lanka","{'Bathroom': ['Toilet paper', 'Bathrobe', 'Bathtub', 'Shower'], 'Bedroom': ['Walk-in closet', 'Extra long beds (> 6.5 ft)'], 'View': ['Garden view'], 'Outdoors': ['Outdoor dining area', 'Outdoor furniture', 'Balcony', 'Terrace'], 'Kitchen': ['Shared Kitchen', 'Dining table', 'Cleaning products', 'Kitchenware'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Diving', 'Cycling', 'Bicycle Rental (additional charge)'], 'Living Area': ['Dining area', 'Fireplace', 'Sitting area'], 'Media & Technology': ['TV'], 'Food & Drink': ['Breakfast in the Room', 'Restaurant'], 'Internet': ['No internet access available.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Services': ['Shuttle Service', 'Shared Lounge/TV Area', 'Lockers', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Car Rental', 'Souvenir/Gift Shop', 'Hair/Beauty Salon'], 'General': ['Air Conditioning', 'Mosquito net', 'Tile/Marble floor', 'Safe', 'Fan'], 'Languages Spoken': ['Korean', 'Japanese', 'English']}","80.0924498029053,6.03766732687815,80.3598491102457,6.11905219128778",Safaya Bungalow,"['Airport Shuttle', 'Free Parking', 'Restaurant', 'Good Breakfast', 'Airport Shuttle', 'Free Parking', 'Restaurant', 'Good Breakfast']","['2,916']",8.3,Very Good,8 reviews,"Safaya Bungalow has been welcoming Booking.com guests since Nov 25, 2016",3-star hotel,"https://www.booking.com/hotel/lk/safaya-bungalow.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=206658501_95773717_2_1_0&all_sr_blocks=206658501_95773717_2_1_0&room1=A,A&hpos=35&hapos=285&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X285&from=searchresults
;highlight_room=#hotelTmpl"
5,"27 Church Street, 80000 Galle, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Towels/Sheets (extra fee)', 'Guest bathroom', 'Slippers', 'Private bathroom', 'Toilet', 'Free toiletries', 'Bathrobe', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet', 'Walk-in closet'], 'View': ['City view', 'Garden view', 'View'], 'Outdoors': ['Picnic Area', 'Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'Balcony', 'Terrace', 'Garden'], 'Kitchen': ['Dryer', 'Electric kettle'], 'Health & Wellness Facilities': ['Sauna\n\n(additional charge)'], 'Accessibility': ['Emergency Cord in Bathroom', 'Lower Sink', 'Raised Toilet', 'Toilet With Grab Rails', 'Wheelchair Accessible', 'Upper floors accessible by elevator'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Cooking Class\n\n(additional charge)', 'Bike Tours\n\n(additional charge)', 'Walking Tours\n\n(additional charge)', 'Snorkeling\n\nOff-site\n(additional charge)', 'Diving\n\nOff-site\n(additional charge)', 'Cycling\n\nOff-site', 'Hiking\n\nOff-site\n(additional charge)', 'Bicycle Rental (additional charge)', 'Fishing\n\nOff-site\n(additional charge)'], 'Living Area': ['Dining area', 'Sofa'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'Telephone', 'TV'], 'Food & Drink': ['On-site Coffee Shop', 'Chocolate/Cookies\n\n(additional charge)', 'Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', ""Kids' Meals\n\n(additional charge)"", 'Snack Bar', 'Restaurant', 'Minibar', 'Tea/Coffee maker'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).', 'Street Parking', 'Secured Parking'], 'Front Desk Services': ['Lockers', 'Private Check-in/Check-out', 'Concierge Service', 'ATM On Site', 'Baggage Storage', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Entertainment & Family Services': [""Kids' TV Networks"", ""Kids' Outdoor Play Equipment"", 'Babysitting/Child Services\n\n(additional charge)'], 'Cleaning Services': ['Daily Housekeeping', 'Suit Press\n\n(additional charge)', 'Ironing Service\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)', 'Meeting/Banquet Facilities\n\n(additional charge)'], 'General': ['Convenience Store (on site)', 'Designated Smoking Area', 'Air Conditioning', 'All Spaces Non-Smoking (public and private)', 'Shops (on site)', 'Wake-up service', 'Tile/Marble floor', 'Car Rental', 'Souvenir/Gift Shop', 'Safe', 'Elevator', 'Honeymoon Suite', 'VIP Room Facilities', 'Fan', 'Family Rooms', 'Facilities for Disabled Guests', 'Ironing facilities', 'Non-smoking Rooms', 'Iron', 'Newspapers\n\n(additional charge)', 'Safe', 'Room Service']}","80.1997587046197,6.00881583002834,80.2359558892983,6.04474666317453",The Heritage Galle Fort,"['Free Parking', 'Non-smoking Rooms', 'Facilities for Disabled Guests', 'Free WiFi', 'Family Rooms', 'Tea/Coffee Maker in All Rooms', 'Breakfast', 'Free Parking', 'Non-smoking Rooms', 'Facilities for Disabled Guests', 'Free WiFi', 'Family Rooms', 'Tea/Coffee Maker in All Rooms', 'Breakfast']","['31,424', '53,291']",,,,"The Heritage Galle Fort has been welcoming Booking.com guests since Sept 3, 2018",,"https://www.booking.com/hotel/lk/the-heritage-galle-fort.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=401049501_123535892_2_41_0&all_sr_blocks=401049501_123535892_2_41_0&room1=A,A&hpos=36&hapos=286&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X286&from=searchresults
;highlight_room=#hotelTmpl"
6,"ids gimhan,udugama road,bataduwa,galle, 80000 Galle, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Parking Garage', 'Secured Parking'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Kitchen': ['High chair', 'Dining table', 'Cleaning products', 'Dryer', 'Electric kettle', 'Washing machine'], 'Bedroom': ['Wardrobe/Closet', 'Walk-in closet', 'Extra long beds (> 6.5 ft)'], 'Bathroom': ['Bidet', 'Towels/Sheets (extra fee)', 'Slippers', 'Free toiletries', 'Hairdryer', 'Shower', 'Toilet paper', 'Linens', 'Additional bathroom', 'Guest bathroom', 'Private bathroom', 'Toilet'], 'Living Area': ['Dining area', 'Fireplace', 'Sitting area'], 'Media & Technology': ['Satellite channels', 'TV', 'Computer'], 'Room Amenities': ['Mosquito net', 'Soundproof', 'Fan', 'Iron', 'Hardwood/Parquet floors', 'Tile/Marble floor', 'Private entrance', 'Ironing facilities', 'Safe'], 'Pets': ['Free!\nPets are allowed on request. No extra charges.'], 'Accessibility': ['Toilet With Grab Rails'], 'Outdoors': ['Barbecue', 'BBQ Facilities\n\n(additional charge)', 'Balcony', 'Terrace', 'Garden'], 'Common Areas': ['Library'], 'Health & Wellness Facilities': ['Open-air Bath'], 'Food & Drink': ['Grocery Deliveries\n\n(additional charge)', 'Special Diet Meals (upon request)', 'Breakfast in the Room', 'Room Service', 'Minibar'], 'Activities': ['Diving\n\n(additional charge)', 'Fishing\n\n(additional charge)'], 'Services & Extras': ['Wake-up service'], 'Building Characteristics': ['Semi-detached'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)', 'Airport Shuttle (additional charge)', 'Car Rental', 'Bicycle Rental (additional charge)'], 'Outdoor & View': ['City view', 'Garden view', 'View'], 'Front Desk Services': ['Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out', 'Newspapers'], 'Entertainment & Family Services': ['Books, DVDs or music for children'], 'Cleaning Services': ['Daily Housekeeping', 'Laundry'], 'Miscellaneous': ['Family Rooms', 'Non-smoking Rooms'], 'Languages Spoken': ['Russian', 'Hungarian', 'English']}","80.2177601,6.0188552,80.2620619,6.0663948",Ids villa,"['Airport Shuttle', 'Free Parking', 'Pet Friendly', 'Non-smoking Rooms', 'Free WiFi', 'Airport Shuttle', 'Free Parking', 'Pet Friendly', 'Non-smoking Rooms', 'Free WiFi']","['48,594', '54,263', '55,883', '57,503', '64,792', '16,198']",8.5,,,"Ids villa has been welcoming Booking.com guests since Aug 10, 2017",,"https://www.booking.com/hotel/lk/ids-villa.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=261148201_119714171_5_1_0&all_sr_blocks=261148201_119714171_5_1_0&room1=A,A&hpos=37&hapos=287&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X287&from=searchresults
;highlight_room=#hotelTmpl"
7,"No. 6, Station Road, Richmond Hill, Galle, 80000 Galle, Sri Lanka","{'Miscellaneous': ['Air Conditioning', 'Family Rooms', 'Non-smoking Rooms'], 'Bathroom': ['Toilet paper', 'Shared toilet', 'Free toiletries', 'Shared bathroom'], 'Outdoors': ['Balcony'], 'Kitchen': ['Dining table'], 'Room Amenities': ['Drying rack for clothing', 'Fold-up bed', 'Fan', 'Safe'], 'Outdoor & View': ['Mountain view'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Diving\n\n(additional charge)', 'Hiking\n\n(additional charge)', 'Fishing\n\n(additional charge)'], 'Living Area': ['Sofa'], 'Food & Drink': ['Grocery Deliveries\n\n(additional charge)'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Transportation': ['Airport Shuttle (additional charge)'], 'Front Desk Services': ['Baggage Storage\n\n(additional charge)'], 'Cleaning Services': ['Daily Housekeeping']}","80.1003070392882,6.017792,80.30929,6.09241864107204",DSK Apartment Galle,"['Airport Shuttle', 'Free Parking', 'Non-smoking Rooms', 'Free WiFi', 'Family Rooms', 'Airport Shuttle', 'Free Parking', 'Non-smoking Rooms', 'Free WiFi', 'Family Rooms']","['5,345', '6,155', '5,669', '6,155']",9.4,Cleanliness,4 reviews,"DSK Apartment Galle has been welcoming Booking.com guests since Oct 16, 2017",,"https://www.booking.com/hotel/lk/dsk-apartment-galle.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=276268304_114933972_5_0_0&all_sr_blocks=276268304_114933972_5_0_0&room1=A,A&hpos=38&hapos=288&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X288&from=searchresults
;highlight_room=#hotelTmpl"
8,"62/1, Akuressa Road,, 80000 Galle, Sri Lanka","{'Miscellaneous': ['Air Conditioning', 'Hypoallergenic Room Available', 'Soundproof Rooms', 'Family Rooms', 'Non-smoking Rooms'], 'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Towels/Sheets (extra fee)', 'Guest bathroom', 'Bathtub or shower', 'Private bathroom', 'Toilet', 'Free toiletries', 'Shared bathroom', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet', 'Extra long beds (> 6.5 ft)'], 'Outdoors': ['Terrace', 'Garden'], 'Kitchen': ['Dining table', 'Cleaning products', 'Kitchenware', 'Electric kettle', 'Microwave', 'Refrigerator'], 'Room Amenities': ['Mosquito net', 'Tile/Marble floor', 'Soundproof', 'Private entrance', 'Fan', 'Ironing facilities', 'Iron', 'Safe'], 'Outdoor & View': ['Garden view', 'View'], 'Building Characteristics': ['Private apartment in building'], 'Accessibility': ['Lower Sink', 'Raised Toilet'], 'Pets': ['Pets are not allowed.'], 'Living Area': ['Dining area', 'Sofa', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'TV'], 'Food & Drink': ['Breakfast in the Room', 'Room Service'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).', 'Accessible Parking', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)', 'Airport Shuttle (additional charge)', 'Car Rental', 'Bicycle Rental (additional charge)'], 'Front Desk Services': ['Private Check-in/Check-out', 'Tour Desk', 'Currency Exchange', '24-Hour Front Desk'], 'Cleaning Services': ['Daily Housekeeping', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)'], 'Languages Spoken': ['Italian', 'English']}","80.2250349744924,6.01552752168233,80.2612326070896,6.05145835482852",Bella Villa,"['Airport Shuttle', 'Free Parking', 'Non-smoking Rooms', 'Free WiFi', 'Family Rooms', 'Airport Shuttle', 'Free Parking', 'Non-smoking Rooms', 'Free WiFi', 'Family Rooms']","['8,099']",9.2,Cleanliness,3 reviews,"Bella Villa has been welcoming Booking.com guests since Jun 21, 2017",,"https://www.booking.com/hotel/lk/bella-villa.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=247542902_103038728_6_1_0&all_sr_blocks=247542902_103038728_6_1_0&room1=A,A&hpos=39&hapos=289&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X289&from=searchresults
;highlight_room=#hotelTmpl"
9,"Asoka Mawatha, 80000 Galle, Sri Lanka","{'Bathroom': ['Toilet paper', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'View': ['Garden view', 'View'], 'Outdoors': ['Outdoor furniture', 'Terrace', 'Garden'], 'Kitchen': ['Refrigerator'], 'Room Amenities': ['Drying rack for clothing', 'Fold-up bed'], 'Pets': ['Pets are allowed on request. Charges may apply.'], 'Accessibility': ['Entire unit wheelchair accessible', 'Entire unit located on ground floor'], 'Living Area': ['Sitting area'], 'Food & Drink': ['Tea/Coffee maker'], 'Internet': ['No internet access available.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Entertainment & Family Services': ['Board games/puzzles'], 'General': ['Mosquito net', 'Fan', 'Non-smoking Rooms']}","80.214097,6.058117,80.217773,6.059253",Luckey's Home,"['Free Parking', 'Pet Friendly', 'Non-smoking Rooms', 'Tea/Coffee Maker in All Rooms', 'Free Parking', 'Pet Friendly', 'Non-smoking Rooms', 'Tea/Coffee Maker in All Rooms']","['3,726', '3,539']",,,,"Luckey's Home has been welcoming Booking.com guests since Jan 7, 2018",,"https://www.booking.com/hotel/lk/luckey-39-s-home.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=8e7344a6e2a7051d&srepoch=1536313550&highlighted_blocks=298492901_110541762_2_0_0&all_sr_blocks=298492901_110541762_2_0_0&room1=A,A&hpos=40&hapos=290&dest_type=city&dest_id=-2217578&srfid=a175c277f8bacb650c1e9ed868cde4b65c897aa5X290&from=searchresults
;highlight_room=#hotelTmpl"
