,HotelAddress,HotelDetailedFacilities,HotelGeoCoordinates,HotelName,HotelPopularFacilities,HotelPrices,HotelReviewScore,HotelReviewText,HotelReviews,HotelSince,HotelStars,URL
0,"108, Kathiresan Street, 01300 Colombo, Sri Lanka","{'Bathroom': ['Walk-in Shower', 'Toilet paper', 'Linens', 'Towels', 'Bidet', 'Bathtub or shower', 'Private bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'Kitchen': ['Shared Kitchen'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Upper floors accessible by elevator'], 'Media & Technology': ['Cable channels', 'Telephone'], 'Food & Drink': ['Bottle of Water', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree public parking is available  on site (reservation is not needed).', 'Accessible Parking', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Concierge Service', 'Baggage Storage', 'Ticket Service', 'Tour Desk', 'Currency Exchange', '24-Hour Front Desk'], 'Cleaning Services': ['Daily Housekeeping', 'Ironing Service\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying'], 'General': ['Airport Shuttle (additional charge)', 'Designated Smoking Area', 'Air Conditioning', 'Wake-up service', 'Tile/Marble floor', 'Soundproof Rooms', 'Safe', 'Elevator', 'Family Rooms', 'Non-smoking Rooms', 'Iron', 'Safe'], 'Languages Spoken': ['Hindi', 'English']}","79.84426,6.9121123,79.8656706,6.9714739",Metro Port City Hotel,"['Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Free Parking', 'Free WiFi', 'Breakfast', 'Airport Shuttle', 'Non-smoking Rooms', 'Family Rooms', 'Free Parking', 'Free WiFi', 'Breakfast']","['5,345', '5,993']",7.3,Good,522 reviews,"Metro Port City Hotel has been welcoming Booking.com guests since Aug 30, 2017",1-star hotel,"https://www.booking.com/hotel/lk/metro-port-city.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=265390303_107216487_2_2_0&all_sr_blocks=265390303_107216487_2_2_0&room1=A,A&hpos=21&hapos=571&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X571&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=22.7#hotelTmpl"
1,"46, Panchikawatte Road Maradana , 00100 Colombo, Sri Lanka","{'Bathroom': ['Toilet paper', 'Bidet', 'Private bathroom', 'Toilet', 'Shower'], 'Outdoors': ['BBQ Facilities'], 'Pets': ['Pets are not allowed.'], 'Media & Technology': ['Cable channels', 'TV'], 'Food & Drink': ['Bottle of Water', 'Bar', 'Restaurant', 'Minibar'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree public parking is available  on site (reservation is not needed).'], 'Transportation': ['Airport Drop-off', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Baggage Storage', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Cleaning Services': ['Dry Cleaning', 'Laundry'], 'General': ['Shuttle Service', 'Shuttle Service (additional charge)', 'Air Conditioning', 'Tile/Marble floor', 'Car Rental', 'Airport Shuttle', 'Non-smoking Rooms', 'Newspapers', 'Room Service']}","79.84426,6.87546661553247,79.8860611688995,6.98540689744504",Shalimar Hotel,"['Airport Shuttle', 'Non-smoking Rooms', 'Free Parking', 'Room Service', 'Free WiFi', 'Bar', 'Breakfast', 'Airport Shuttle', 'Non-smoking Rooms', 'Free Parking', 'Room Service', 'Free WiFi', 'Bar', 'Breakfast']","['5,102', '6,269']",7.2,Good,544 reviews,"Shalimar Hotel has been welcoming Booking.com guests since Sept 6, 2011",2-star hotel,"https://www.booking.com/hotel/lk/shalimar.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=33111601_98769128_0_2_0&all_sr_blocks=33111601_98769128_0_2_0&room1=A,A&hpos=22&hapos=572&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X572&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=22.9#hotelTmpl"
2,"23 St Sebastian Place - Ethukala - Negombo, 11500 Negombo, Sri Lanka","{'Bathroom': ['Walk-in Shower', 'Toilet paper', 'Linens', 'Additional bathroom', 'Bidet', 'Towels/Sheets (extra fee)', 'Guest bathroom', 'Bathtub or shower', 'Private bathroom', 'Toilet', 'Bathtub', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'View': ['Pool view', 'Garden view'], 'Outdoors': ['Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'Barbecue', 'Private pool', 'BBQ Facilities', 'Patio', 'Balcony', 'Terrace', 'Garden'], 'Kitchen': ['Dining table', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Washing machine', 'Microwave', 'Refrigerator'], 'Pool and Spa': ['Swimming Pool', 'Outdoor Pool (all year)', 'Outdoor Pool'], 'Building Characteristics': ['Detached'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Beach'], 'Living Area': ['Dining area', 'Sofa', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'Satellite channels', 'TV'], 'Food & Drink': ['Bottle of Water\n\n(additional charge)', 'Special Diet Meals (upon request)'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).', 'Secured Parking'], 'Services': ['Shared Lounge/TV Area'], 'General': ['Air Conditioning', 'All Spaces Non-Smoking (public and private)', 'Tile/Marble floor', 'Private entrance', 'Fan', 'Ironing facilities', 'Non-smoking Rooms', 'Iron']}","79.840344786644,7.22188706217681,79.8546438766989,7.24523968587693",Asokamal Tranquil - Negombo,"['Swimming Pool', 'Free Parking', 'Outdoor Pool', 'Free WiFi', 'Non-smoking Rooms', 'Swimming Pool', 'Free Parking', 'Outdoor Pool', 'Free WiFi', 'Non-smoking Rooms', 'Beach nearby']","['4,050', '8,099', '8,909', '13,768', '18,628', '20,248', '3,240']",8.8,Cleanliness,2 reviews,"Asokamal Tranquil - Negombo has been welcoming Booking.com guests since May 28, 2018",,"https://www.booking.com/hotel/lk/asokamal-tranquil-negombo.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=357384701_118352354_2_0_0&all_sr_blocks=357384701_118352354_2_0_0&room1=A,A&hpos=23&hapos=573&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X573&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=22.6#hotelTmpl"
3,"No.6/1 Seaview Road, Lewis Place, Negombo, 11500 Negombo, Sri Lanka","{'Bathroom': ['Private bathroom', 'Toilet', 'Hairdryer'], 'Bedroom': ['Wardrobe/Closet'], 'Outdoors': ['Outdoor Furniture', 'Beachfront', 'BBQ Facilities\n\n(additional charge)', 'Balcony', 'Terrace', 'Garden'], 'Pool and Spa': ['Swimming Pool', 'Fence Around Pool', 'Shallow End', 'Pool Towels', 'Pool With View', 'Bathhouse', 'Outdoor Pool'], 'Services & Extras': ['Tickets to Attractions or Shows'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Beach', 'Bicycle Rental (additional charge)', 'Pool Table', 'Fishing\n\nOff-site'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', 'Bar', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['No parking available.', 'Street Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Lockers', 'Private Check-in/Check-out', 'Concierge Service', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out'], 'Cleaning Services': ['Daily Housekeeping'], 'Business Facilities': ['Fax/Photocopying'], 'General': ['Grocery Deliveries\n\n(additional charge)', 'Air Conditioning', 'Car Rental', 'Family Rooms', 'Airport Shuttle', 'Non-smoking Rooms', 'Newspapers', 'Room Service'], 'Languages Spoken': ['Chinese', 'English']}","79.8359925601244,7.19824367903216,79.8433598705642,7.2502341",Tong Fu Hotel,"['Swimming Pool', 'Airport Shuttle', 'Outdoor Pool', 'Room Service', 'Family Rooms', 'WiFi Available in All Areas', 'Bar', 'Good Breakfast', 'Beachfront', 'Swimming Pool', 'Airport Shuttle', 'Outdoor Pool', 'Room Service', 'Family Rooms', 'WiFi Available in All Areas', 'Bar', 'Good Breakfast', 'Beachfront']","['4,859', '9,719', '5,669', '11,339', '6,479', '12,958', '8,099', '16,198']",7.7,Good,131 reviews,"Tong Fu Hotel has been welcoming Booking.com guests since Jul 27, 2017",2 stars,"https://www.booking.com/hotel/lk/tong-fu.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=257842112_104459556_2_1_0&all_sr_blocks=257842112_104459556_2_1_0&room1=A,A&hpos=24&hapos=574&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X574&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=22.5#hotelTmpl"
4,"No-08, Circular Road, 11500 Negombo, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Private bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'Outdoors': ['BBQ Facilities\n\n(additional charge)', 'Terrace', 'Garden'], 'Kitchen': ['Electric kettle'], 'Room Amenities': ['Drying rack for clothing'], 'Accessibility': ['Entire unit located on ground floor'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Beach', 'Water Sports Facilities (on site)\n\n(additional charge)', 'Cycling', 'Bicycle Rental (additional charge)', 'Playground', 'Fishing\n\n(additional charge)'], 'Living Area': ['Sofa', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'Satellite channels'], 'Food & Drink': ['Special Diet Meals (upon request)', 'Breakfast in the Room', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Front Desk Services': ['Baggage Storage', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Baby Safety Gates'], 'Cleaning Services': ['Suit Press', 'Ironing Service', 'Dry Cleaning', 'Laundry'], 'General': ['Shuttle Service', 'Convenience Store (on site)', 'Hypoallergenic', 'Air Conditioning', 'Shops (on site)', 'Mosquito net', 'Tile/Marble floor', 'Car Rental', 'Packed Lunches', 'Safe', 'Fan', 'Facilities for Disabled Guests', 'Ironing facilities', 'Airport Shuttle', 'Non-smoking Rooms', 'Safe', 'Room Service'], 'Languages Spoken': ['Hindi', 'English', 'German', 'Arabic']}","79.7948544790278,7.17019751834865,79.8710904883911,7.2502341",Miura Dutch Edge Hotel,"['Airport Shuttle', 'Free Parking', 'Facilities for Disabled Guests', 'Room Service', 'Free WiFi', 'Good Breakfast', 'Airport Shuttle', 'Free Parking', 'Facilities for Disabled Guests', 'Room Service', 'Free WiFi', 'Good Breakfast']","['8,276', '9,414', '9,545', '7,380', '8,357', '9,414', '9,767', '10,310', '10,853', '10,310', '10,853', '12,481']",8.3,Very Good,306 reviews,"Miura Dutch Edge Hotel has been welcoming Booking.com guests since Oct 10, 2016",4-star hotel,"https://www.booking.com/hotel/lk/miura-dutch-edge.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=199750806_105946757_2_42_0&all_sr_blocks=199750806_105946757_2_42_0&room1=A,A&hpos=25&hapos=575&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X575&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=22.1#hotelTmpl"
5,"137 Lewis Place, 11500 Negombo, Sri Lanka","{'Bathroom': ['Walk-in Shower', 'Toilet paper', 'Linens', 'Towels', 'Bidet', 'Bathtub or shower', 'Toilet', 'Free toiletries', 'Bathrobe', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet', 'Walk-in closet'], 'Outdoors': ['Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'Sun Deck', 'Barbecue', 'BBQ Facilities', 'Garden'], 'Kitchen': ['Shared Kitchen', 'Dining table', 'Cleaning products', 'Electric kettle', 'Washing machine', 'Refrigerator'], 'Room Amenities': ['Drying rack for clothing', 'Fold-up bed'], 'Services & Extras': ['Tickets to Attractions or Shows\n\n(additional charge)'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Bikes Available (free)', 'Cycling', 'Bicycle Rental (additional charge)'], 'Living Area': ['Dining area', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'Satellite channels', 'DVD Player', 'TV'], 'Food & Drink': ['On-site Coffee Shop', 'Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', ""Kids' Meals"", 'Special Diet Meals (upon request)', 'Breakfast in the Room', 'Tea/Coffee maker', 'Very Good Coffee!'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Street Parking', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Services': ['Lockers'], 'Front Desk Services': ['Private Check-in/Check-out', 'Baggage Storage', 'Ticket Service', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out\n\n(additional charge)', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Child safety socket covers'], 'Cleaning Services': ['Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'General': ['Grocery Deliveries', 'Shared Lounge/TV Area', 'Air Conditioning', 'Mosquito net', 'Wake-up service', 'Car Rental', 'Packed Lunches', 'Fan', 'Airport Shuttle', 'Non-smoking Rooms', 'Iron', 'Newspapers', 'Room Service'], 'Languages Spoken': ['Japanese', 'Italian', 'English']}","79.8348785203186,7.20193722485387,79.8448777198792,7.24617894473277",Dions Guest House,"['Airport Shuttle', 'Free Parking', 'Room Service', 'Free WiFi', '24-Hour Front Desk', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast', 'Airport Shuttle', 'Free Parking', 'Room Service', 'Free WiFi', '24-Hour Front Desk', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast']","['6,196', '7,289', '7,289', '6,884', '8,099', '6,479']",8.0,Very Good,68 reviews,"Dions Guest House has been welcoming Booking.com guests since May 5, 2015",2 stars,"https://www.booking.com/hotel/lk/dions-guest-house.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=135490101_90659459_0_42_0&all_sr_blocks=135490101_90659459_0_42_0&room1=A,A&hpos=26&hapos=576&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X576&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=22.5#hotelTmpl"
6,"Lewis Place, 11500 Negombo, Sri Lanka","{'Bathroom': ['Private bathroom', 'Toilet', 'Shower'], 'View': ['View'], 'Outdoors': ['Balcony', 'Garden'], 'Kitchen': ['Refrigerator'], 'Pool and Spa': ['Swimming Pool', 'Outdoor Pool', 'Massage\n\n(additional charge)'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Ping-pong\n\n(additional charge)'], 'Media & Technology': ['Cable channels', 'Telephone'], 'Food & Drink': ['Breakfast in the Room', 'Bar', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree public parking is available  on site (reservation is not needed).'], 'Front Desk Services': ['Baggage Storage', 'Currency Exchange', '24-Hour Front Desk'], 'Cleaning Services': ['Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)', 'Meeting/Banquet Facilities\n\n(additional charge)'], 'General': ['Air Conditioning\n\n(additional charge)', 'All Spaces Non-Smoking (public and private)', 'Wake-up service', 'Tile/Marble floor', 'Safe', 'Elevator', 'Fan', 'Non-smoking Rooms', 'Room Service']}","79.8270463943481,7.19080456994647,79.8550969362259,7.27204470686513",Paradise Beach Hotel,"['Swimming Pool', 'Free Parking', 'Outdoor Pool', 'Room Service', 'WiFi Available in All Areas', 'Free WiFi', 'Bar', 'Good Breakfast', 'Swimming Pool', 'Free Parking', 'Outdoor Pool', 'Room Service', 'WiFi Available in All Areas', 'Free WiFi', 'Bar', 'Good Breakfast', 'Beach nearby']","['9,278', '10,788', '12,945']",7.0,Good,211 reviews,"Paradise Beach Hotel has been welcoming Booking.com guests since Dec 9, 2010",3-star hotel,"https://www.booking.com/hotel/lk/paradise-beach.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=27589801_98977090_2_2_0&all_sr_blocks=27589801_98977090_2_2_0&room1=A,A&hpos=27&hapos=577&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X577&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=23.0#hotelTmpl"
7,"No:12/A, Peter Mendis Road , kudapaduwa Negombo, 11500 Negombo, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Bathtub or shower', 'Private bathroom', 'Toilet', 'Free toiletries', 'Shower'], 'Outdoors': ['Outdoor dining area', 'Outdoor furniture'], 'Health & Wellness Facilities': ['Massage\n\n(additional charge)'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Entire unit located on ground floor'], 'Activities': ['Fishing\n\n(additional charge)'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Services': ['Wake-up service', 'Airport Shuttle', '24-Hour Front Desk'], 'General': ['Mosquito net', 'Tile/Marble floor', 'Private entrance', 'Fan', 'Iron', 'Safe']}","79.8354803491383,7.20100788373775,79.8501992225647,7.24955222821069",Marcelin Family Villa,"['Airport Shuttle', 'Free Parking', 'Free WiFi', '24-Hour Front Desk', 'Exceptional Breakfast', 'Airport Shuttle', 'Free Parking', 'Free WiFi', '24-Hour Front Desk', 'Exceptional Breakfast', 'Beach nearby']","['1,944', '2,916', '2,916']",9.3,Wonderful,200 reviews,"Marcelin Family Villa has been welcoming Booking.com guests since May 25, 2017",,"https://www.booking.com/hotel/lk/marcelin-family-villa.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=237409201_109987910_2_2_0&all_sr_blocks=237409201_109987910_2_2_0&room1=A,A&hpos=28&hapos=578&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X578&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=22.4#hotelTmpl"
8,"Thushara Mawatha 19/A, 11500 Negombo, Sri Lanka","{'Bathroom': ['Walk-in Shower', 'Toilet paper', 'Bathtub or shower', 'Private bathroom', 'Toilet', 'Bathtub', 'Shower'], 'Bedroom': ['Walk-in closet'], 'Outdoors': ['Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'Garden'], 'Kitchen': ['Shared Kitchen'], 'Health & Wellness Facilities': ['Spa/Wellness Packages', 'Spa Facilities', 'Beauty Services'], 'Accessibility': ['Entire unit wheelchair accessible', 'Entire unit located on ground floor'], 'Pets': ['Pets are allowed on request. Charges may apply.'], 'Activities': ['Tour or Class About Local Culture\n\n(additional charge)', 'Happy Hour\n\n(additional charge)', 'Bike Tours\n\n(additional charge)', 'Walking Tours\n\n(additional charge)', 'Beach', 'Nightclub/DJ', 'Cycling\n\nOff-site', 'Karaoke', 'Fishing\n\nOff-site\n(additional charge)'], 'Food & Drink': ['Chocolate/Cookies\n\n(additional charge)', 'Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', 'Wine/Champagne\n\n(additional charge)', 'Breakfast in the Room'], 'Internet': ['WiFi is available in all areas and charges apply.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).', 'Parking Garage', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Baggage Storage\n\n(additional charge)', 'Ticket Service', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Entertainment & Family Services': [""Kids' TV Networks"", 'Baby Safety Gates', 'Baby safety gates'], 'Cleaning Services': ['Daily Housekeeping\n\n(additional charge)', 'Suit Press\n\n(additional charge)', 'Shoeshine\n\n(additional charge)', 'Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)'], 'General': ['Paid WiFi', 'Grocery Deliveries\n\n(additional charge)', 'Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Designated Smoking Area', 'Air Conditioning\n\n(additional charge)', 'Tile/Marble floor', 'Private entrance', 'Car Rental', 'Packed Lunches', 'Fan', 'Family Rooms', 'Non-smoking Rooms', 'Newspapers\n\n(additional charge)', 'Safe', 'Room Service']}","79.829502277427,7.19103642405335,79.8584813885658,7.26313986669366",Mr Oliver guest house and Travels,"['Airport Shuttle', 'Free Parking', 'Pet Friendly', 'Room Service', 'Family Rooms', 'WiFi', 'Airport Shuttle', 'Free Parking', 'Pet Friendly', 'Room Service', 'Family Rooms', 'WiFi', 'Beach nearby']","['2,101', '1,934', '2,248', '2,068', '3,037', '2,794']",8.9,Excellent,23 reviews,"Mr Oliver guest house and Travels has been welcoming Booking.com guests since Jan 31, 2018",,"https://www.booking.com/hotel/lk/mr-oliver-guest-house-and-travels.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=306967005_114044480_2_0_0&all_sr_blocks=306967005_114044480_2_0_0&room1=A,A&hpos=29&hapos=579&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X579&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=22.4#hotelTmpl"
9,"No.118 Lewis Place, Beach Road, 11500 Negombo, Sri Lanka","{'Bathroom': ['Walk-in Shower', 'Toilet paper', 'Linens', 'Bidet', 'Guest bathroom', 'Bathtub or shower', 'Toilet', 'Hairdryer', 'Shower'], 'Bedroom': ['Extra long beds (> 6.5 ft)'], 'Outdoors': ['Beachfront', 'Sun Deck', 'BBQ Facilities\n\n(additional charge)', 'Terrace', 'Garden'], 'Kitchen': ['Shared Kitchen'], 'Health & Wellness Facilities': ['Full Body Massage', 'Hand Massage', 'Head Massage', ""Couples' Massage"", 'Foot Massage', 'Neck Massage', 'Back Massage', 'Massage\n\n(additional charge)'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Beach', 'Diving\n\nOff-site', 'Library', 'Bicycle Rental (additional charge)', 'Fishing\n\nOff-site'], 'Internet': ['Free!\nWiFi is available in some hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Front Desk Services': ['Private Check-in/Check-out', 'Baggage Storage', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Cleaning Services': ['Ironing Service\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)'], 'General': ['Shuttle Service', 'Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Air Conditioning\n\n(additional charge)', 'Tile/Marble floor', 'Soundproof', 'Private entrance', 'Car Rental', 'Souvenir/Gift Shop', 'Safe', 'Family Rooms', 'Non-smoking Rooms', 'Newspapers']}","79.8163658380508,7.17026230993442,79.8658794164658,7.28609441044947",Marine Tourist Guest House @ Negombo Beach,"['Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Beachfront', 'Breakfast', 'Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Beachfront', 'Breakfast']","['1,944', '972', '3,726', '4,471', '4,211', '5,054', '4,373', '6,155', '7,386', '6,479', '7,775']",7.9,Good,554 reviews,"Marine Tourist Guest House @ Negombo Beach has been welcoming Booking.com guests since Sept 14, 2012",3 stars,"https://www.booking.com/hotel/lk/marine-tourist-guest-house.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=a13744e94a5e0304&srepoch=1536313684&highlighted_blocks=43001704_118278512_2_2_0&all_sr_blocks=43001704_118278512_2_2_0&room1=A,A&hpos=30&hapos=580&dest_type=city&dest_id=-2217865&srfid=c2f4b5934862f869e11141efeea0b20d5645e900X580&from=searchresults
;highlight_room=;spdest=ci/-2217865;spdist=22.7#hotelTmpl"
