,HotelAddress,HotelDetailedFacilities,HotelGeoCoordinates,HotelName,HotelPopularFacilities,HotelPrices,HotelReviewScore,HotelReviewText,HotelReviews,HotelSince,HotelStars,URL
0,"Poonagala Road, 90100 Bandarawela, Sri Lanka","{'Bathroom': ['Walk-in Shower', 'Toilet paper', 'Towels', 'Bidet', 'Bathtub or shower', 'Slippers', 'Private bathroom', 'Toilet', 'Bathrobe', 'Shower'], 'Bedroom': ['Wardrobe/Closet', 'Extra long beds (> 6.5 ft)'], 'Outdoors': ['Outdoor Furniture', 'BBQ Facilities\n\n(additional charge)', 'Terrace', 'Garden'], 'Kitchen': ['Dryer'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'TV'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water', 'Special Diet Meals (upon request)', 'Snack Bar', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Services': ['Daily Housekeeping', 'Fax/Photocopying\n\n(additional charge)', 'Packed Lunches', 'Shoeshine\n\n(additional charge)', 'Ironing Service\n\n(additional charge)', 'Laundry\n\n(additional charge)', 'Business Center\n\n(additional charge)', 'Room Service'], 'General': ['Adults Only', 'Designated Smoking Area', 'Heating', 'Tile/Marble floor', 'Fan', 'Non-smoking Rooms']}","80.8897298393646,6.7544927,81.1045384,6.89344516542109",Manor House Boutique Villa,"['Free WiFi', 'Free Parking', 'Breakfast', 'Free WiFi', 'Free Parking', 'Breakfast']","['31,270', '34,906', '28,361', '31,997', '31,270', '34,906', '28,361', '31,997']",,,,"Manor House Boutique Villa has been welcoming Booking.com guests since Jan 31, 2018",,"https://www.booking.com/hotel/lk/manor-house-bandarawela-uva-distrct.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313365&highlighted_blocks=306356001_115185118_2_41_0&all_sr_blocks=306356001_115185118_2_41_0&room1=A,A&hpos=34&hapos=584&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX584&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=19.6#hotelTmpl"
1,"Dutch House, Poonegala Road, Bandarawela, Sri Lanka., 90100 Bandarawela, Sri Lanka","{'Parking': ['Private parking is available at a location nearby (reservation is not needed) and charges may apply.'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Kitchen': ['Dining table', 'Refrigerator'], 'Bedroom': ['Wardrobe/Closet'], 'Bathroom': ['Free toiletries', 'Shower', 'Linens', 'Additional bathroom', 'Guest bathroom', 'Private bathroom', 'Toilet'], 'Living Area': ['Dining area', 'Sofa', 'Fireplace', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'DVD Player', 'Telephone', 'TV', 'Video'], 'Room Amenities': ['Iron', 'Ironing facilities', 'Safe'], 'Pets': ['Pets are not allowed.'], 'Outdoors': ['Private pool', 'Garden'], 'Pool and Spa': ['Swimming Pool', 'Indoor Pool (all year)'], 'Food & Drink': ['Special Diet Meals (upon request)', 'Packed Lunches', 'Room Service', 'Restaurant'], 'Activities': ['Hiking\n\n(additional charge)'], 'Services & Extras': ['Wake-up service'], 'Building Characteristics': ['Detached'], 'Outdoor & View': ['Mountain view', 'Garden view', 'View'], 'Transportation': ['Shuttle Service', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)'], 'Cleaning Services': ['Daily Housekeeping', 'Suit Press\n\n(additional charge)', 'Shoeshine\n\n(additional charge)', 'Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Miscellaneous': ['Heating', 'Honeymoon Suite', 'Non-smoking Rooms']}","80.8753286709133,6.72957226251386,81.1045384,6.92493265495835",Dutch House Bandarawela,"['Swimming Pool', 'Airport Shuttle', 'Non-smoking Rooms', 'Free WiFi', 'Parking', 'Swimming Pool', 'Airport Shuttle', 'Non-smoking Rooms', 'Free WiFi', 'Parking']","['46,864', '63,266', '70,296']",9.9,Exceptional,8 reviews,"Dutch House Bandarawela has been welcoming Booking.com guests since Jul 16, 2014",,"https://www.booking.com/hotel/lk/dutch-house-bandarawela.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313365&highlighted_blocks=110171901_97374138_2_17_0&all_sr_blocks=110171901_97374138_2_17_0&room1=A,A&hpos=35&hapos=585&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX585&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=19.5#hotelTmpl"
2,"9th Mile Post, Uva Karadagolla, 90090 Ella, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Towels/Sheets (extra fee)', 'Private bathroom', 'Toilet', 'Free toiletries', 'Bathrobe', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'View': ['Mountain view', 'View'], 'Outdoors': ['Outdoor Fireplace', 'Picnic Area', 'Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'Sun Deck', 'BBQ Facilities\n\n(additional charge)', 'Garden'], 'Kitchen': ['Dining table', 'Cleaning products', 'Electric kettle'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Accessibility': ['Raised Toilet', 'Entire unit located on ground floor'], 'Activities': ['Badminton Equipment', 'Cycling', 'Hiking', 'Bicycle Rental (additional charge)', 'Playground'], 'Living Area': ['Dining area', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'Satellite channels', 'TV'], 'Food & Drink': ['On-site Coffee Shop', 'Chocolate/Cookies\n\n(additional charge)', 'Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', 'Wine/Champagne\n\n(additional charge)', ""Kids' Meals"", 'Special Diet Meals (upon request)', 'Snack Bar', 'Breakfast in the Room', 'Bar', 'Restaurant', 'Great Coffee!'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).', 'Accessible Parking', 'Street Parking', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Lockers', 'Private Check-in/Check-out', 'Baggage Storage', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Books, DVDs or music for children', 'Board games/puzzles'], 'Cleaning Services': ['Daily Housekeeping', 'Ironing Service\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'General': ['Shuttle Service', 'Grocery Deliveries\n\n(additional charge)', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Mosquito net', 'Wake-up service', 'Soundproof', 'Private entrance', 'Car Rental', 'Packed Lunches', 'Soundproof Rooms', 'Safe', 'Honeymoon Suite', 'Fan', 'Facilities for Disabled Guests', 'Ironing facilities', 'Iron', 'Safe', 'Room Service']}","81.0429974365979,6.76121094650456,81.1225656699389,6.87645622230452",Pepper Hills Cottages,"['Airport Shuttle', 'Free Parking', 'Pet Friendly', 'Facilities for Disabled Guests', 'Room Service', 'Free WiFi', 'Bar', 'Exceptional Breakfast', 'Airport Shuttle', 'Free Parking', 'Pet Friendly', 'Facilities for Disabled Guests', 'Room Service', 'Free WiFi', 'Bar', 'Exceptional Breakfast']","['3,200', '4,218']",9.2,Wonderful,196 reviews,"Pepper Hills Cottages has been welcoming Booking.com guests since Mar 21, 2016",,"https://www.booking.com/hotel/lk/pepper-hills-cottages.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313365&highlighted_blocks=171357602_103669726_2_41_0&all_sr_blocks=171357602_103669726_2_41_0&room1=A,A&hpos=36&hapos=586&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX586&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=19.2#hotelTmpl"
3,"Dhammika Estate, Nugatalawa, Welimada, 90200 Welimada, Sri Lanka","{'Bathroom': ['Linens', 'Towels', 'Bidet', 'Bathtub or shower', 'Slippers', 'Private bathroom', 'Toilet', 'Free toiletries', 'Bathrobe', 'Hairdryer', 'Bathtub', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'View': ['Garden view', 'View'], 'Outdoors': ['Terrace', 'Barbecue', 'BBQ Facilities', 'Garden'], 'Kitchen': ['Dining table', 'Cleaning products', 'Oven', 'Dryer', 'Washing machine', 'Microwave', 'Refrigerator'], 'Pets': ['Free!\nPets are allowed on request. No extra charges.'], 'Activities': ['Entertainment Staff'], 'Living Area': ['Dining area', 'Sofa', 'Fireplace', 'Sitting area'], 'Food & Drink': ['Restaurant'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree public parking is available  on site (reservation is not needed).'], 'Services': ['Shared Lounge/TV Area', 'Executive Lounge Access', 'Wake-up service', 'Car Rental', 'Packed Lunches', 'Ironing Service', 'Laundry\n\n(additional charge)', 'Meeting/Banquet Facilities', 'Room Service'], 'General': ['Air Conditioning\n\n(additional charge)', 'Mosquito net', 'Tile/Marble floor', 'Soundproof', 'Heating', 'Fan', 'Family Rooms', 'Ironing facilities', 'Suit press', 'Iron', 'Newspapers', 'Safe']}","80.753591410675,6.71969305565945,81.047835,7.07875880097147",Surrey Bird Sanctuary & Holiday Resort,[],"['3,232', '6,464', '9,696']",7.8,Good,13 reviews,"Surrey Bird Sanctuary & Holiday Resort has been welcoming Booking.com guests since Sept 2, 2015",,"https://www.booking.com/hotel/lk/surrey-bird-sanctuary-amp-holiday-resort-welimada.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313365&highlighted_blocks=148778801_92997360_2_0_0&all_sr_blocks=148778801_92997360_2_0_0&room1=A,A&hpos=37&hapos=587&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX587&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=20.0#hotelTmpl"
4,"Davuldena - Ambagasdowa Road, 90300 Welimada, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Bidet', 'Towels/Sheets (extra fee)', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'View': ['Garden view'], 'Outdoors': ['BBQ Facilities\n\n(additional charge)', 'Balcony', 'Garden'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Evening Entertainment'], 'Living Area': ['Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Satellite channels', 'Telephone', 'TV'], 'Food & Drink': ['Restaurant'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Wake-up service', 'Meeting/Banquet Facilities\n\n(additional charge)'], 'General': ['Mosquito net', 'Fan', 'Family Rooms', 'Ironing facilities', 'Non-smoking Rooms', 'Iron'], 'Languages Spoken': ['Italian', 'English']}","80.7439488172531,6.86413055598398,81.0398286581039,6.981976",ROSE GARDEN HOTEL & RECEPTION,[],"['5,333']",,,,"ROSE GARDEN HOTEL & RECEPTION has been welcoming Booking.com guests since Apr 23, 2018",,"https://www.booking.com/hotel/lk/rose-garden-amp-reception.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313366&highlighted_blocks=338900801_116501657_8_2_0&all_sr_blocks=338900801_116501657_8_2_0&room1=A,A&hpos=38&hapos=588&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX588&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=19.7#hotelTmpl"
5,"Marlodge Road Inikambadda, 90100 Bandarawela, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Bathtub or shower', 'Slippers', 'Private bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'View': ['Landmark view', 'Mountain view', 'Garden view', 'View'], 'Outdoors': ['Outdoor dining area', 'Outdoor furniture', 'Balcony', 'Terrace', 'Garden'], 'Kitchen': ['Shared Kitchen', 'Dining table', 'Cleaning products', 'Electric kettle', 'Refrigerator'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Living Area': ['Dining area'], 'Media & Technology': ['Computer', 'Flat-screen TV', 'Cable channels', 'Video', 'Telephone', 'TV'], 'Food & Drink': ['Restaurant'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Daily Housekeeping', 'Shared Lounge/TV Area', 'Wake-up service', 'Car Rental', 'Hair/Beauty Salon', 'Laundry\n\n(additional charge)'], 'Entertainment & Family Services': ['Board games/puzzles'], 'General': ['Mosquito net', 'Tile/Marble floor', 'Private entrance', 'Heating', 'Fan', 'Ironing facilities', 'Iron']}","80.9106966401466,6.76053650523834,81.0694751143456,6.8852527501622",Woodlands Home Stay,"['Free WiFi', 'Free Parking', 'Breakfast', 'Free WiFi', 'Free Parking', 'Breakfast']","['5,656', '8,080', '12,120']",9.3,Wonderful,12 reviews,"Woodlands Home Stay has been welcoming Booking.com guests since Mar 8, 2017",,"https://www.booking.com/hotel/lk/woodlands-home-stay.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313366&highlighted_blocks=221451103_98087355_2_1_0&all_sr_blocks=221451103_98087355_2_1_0&room1=A,A&hpos=39&hapos=589&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX589&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=20.0#hotelTmpl"
6,"No.23 , 1st Cross Lane Abathanna Estate, 90100 Bandarawela, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Towels/Sheets (extra fee)', 'Bathtub or shower', 'Private bathroom', 'Toilet', 'Free toiletries', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'View': ['City view', 'Mountain view', 'Garden view', 'View'], 'Outdoors': ['Outdoor Fireplace', 'Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'Sun Deck', 'BBQ Facilities\n\n(additional charge)', 'Balcony', 'Terrace', 'Garden'], 'Kitchen': ['Cleaning products', 'Electric kettle'], 'Room Amenities': ['Drying rack for clothing'], 'Services & Extras': ['Tickets to Attractions or Shows\n\n(additional charge)'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Evening Entertainment', 'Cycling', 'Hiking\n\n(additional charge)', 'Bicycle Rental (additional charge)'], 'Living Area': ['Dining area'], 'Media & Technology': ['Flat-screen TV', 'Satellite channels', 'Telephone', 'TV'], 'Food & Drink': ['Chocolate/Cookies\n\n(additional charge)', 'Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', 'Wine/Champagne\n\n(additional charge)', ""Kids' Meals\n\n(additional charge)"", 'Special Diet Meals (upon request)', 'Snack Bar', 'Breakfast in the Room', 'Restaurant', 'Tea/Coffee maker'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Accessible Parking', 'Secured Parking'], 'Services': ['Shared Lounge/TV Area', 'Lockers'], 'Front Desk Services': ['Private Check-in/Check-out', 'Concierge Service', 'Ticket Service', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out'], 'Entertainment & Family Services': [""Kids' TV Networks"", 'Baby Safety Gates', 'Baby safety gates', 'Board games/puzzles', 'Child safety socket covers'], 'Cleaning Services': ['Daily Housekeeping', 'Suit Press\n\n(additional charge)', 'Shoeshine', 'Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)', 'Meeting/Banquet Facilities\n\n(additional charge)'], 'General': ['Designated Smoking Area', 'Wake-up service', 'Car Rental', 'Packed Lunches', 'Safe', 'Honeymoon Suite', 'VIP Room Facilities', 'Fan', 'Hair/Beauty Salon', 'Ironing facilities', 'Non-smoking Rooms', 'Newspapers', 'Room Service']}","80.9142637252808,6.75687205663346,81.0562705993652,6.89859601954638",9 Arch,"['Free WiFi', 'Free Parking', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast', 'Free WiFi', 'Free Parking', 'Tea/Coffee Maker in All Rooms', 'Good Breakfast']","['9,696', '12,120', '14,544', '8,484', '9,696', '12,120', '14,544', '8,484', '9,696', '12,120', '14,544', '8,484', '9,696', '12,120', '14,544', '8,484', '12,120', '8,484']",8.2,Very Good,59 reviews,"9 Arch has been welcoming Booking.com guests since Nov 15, 2016",3-star hotel,"https://www.booking.com/hotel/lk/9-arch.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313366&highlighted_blocks=204158201_99973892_0_42_0&all_sr_blocks=204158201_99973892_0_42_0&room1=A,A&hpos=40&hapos=590&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX590&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=19.7#hotelTmpl"
7,"Bandarawela - Welimada Road, 90100 Bandarawela, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).', 'Secured Parking'], 'Internet': ['No internet access available.'], 'Kitchen': ['Shared Kitchen', 'Dining table', 'Cleaning products', 'Refrigerator'], 'Bathroom': ['Towels', 'Bathtub', 'Shower', 'Toilet paper'], 'Living Area': ['Dining area', 'Sitting area'], 'Media & Technology': ['TV'], 'Room Amenities': ['Mosquito net', 'Iron', 'Tile/Marble floor', 'Ironing facilities'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Entire unit located on ground floor'], 'Outdoors': ['Outdoor Furniture', 'Outdoor furniture'], 'Outdoor & View': ['View']}","80.9241882399902,6.78324150524965,81.046389,6.88000188023149",Family cottage,"['Free Parking', 'Free Parking']","['9,696']",9.7,Exceptional,7 reviews,"Family cottage has been welcoming Booking.com guests since May 15, 2017",,"https://www.booking.com/hotel/lk/family-cottage.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313366&highlighted_blocks=233246901_109163164_11_0_0&all_sr_blocks=233246901_109163164_11_0_0&room1=A,A&hpos=41&hapos=591&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX591&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=19.3#hotelTmpl"
8,"""pine view"",Gaswaththa, Welimada Road, Bandarawela ""pine view"",Gaswaththa, Welimada Road, Bandarawela, 90100 Bandarawela, Sri Lanka","{'Bathroom': ['Private bathroom'], 'View': ['View'], 'Outdoors': ['Terrace', 'Garden'], 'Kitchen': ['Electric kettle'], 'Pets': ['Pets are not allowed.'], 'Food & Drink': ['Restaurant'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['24-Hour Front Desk', 'Room Service'], 'General': ['Family Rooms', 'Non-smoking Rooms']}","80.9700867362076,6.8136635834269,81.0063412637924,6.8495944165731",Pine View Family Home,"['Non-smoking Rooms', 'Free WiFi', 'Free Parking', 'Family Rooms', 'Non-smoking Rooms', 'Free WiFi', 'Free Parking', 'Family Rooms']","['2,262']",10,Cleanliness,2 reviews,"Pine View Family Home has been welcoming Booking.com guests since Aug 18, 2018",,"https://www.booking.com/hotel/lk/pine-view-family-home.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313366&highlighted_blocks=395387201_122912281_4_0_0&all_sr_blocks=395387201_122912281_4_0_0&room1=A,A&hpos=42&hapos=592&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX592&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=19.2#hotelTmpl"
9,"No. 25 Welimada Road, Gaswatta, 90100 Bandarawela, Sri Lanka","{'Bathroom': ['Private bathroom'], 'View': ['View'], 'Outdoors': ['Garden'], 'Kitchen': ['Electric kettle'], 'Pets': ['Pets are not allowed.'], 'Media & Technology': ['Flat-screen TV'], 'Internet': ['No internet access available.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).']}","80.9711730068283,6.82498818511835,81.0069569931717,6.83817981488165",Nilda Home,"['Free Parking', 'Free Parking']","['12,120']",8.3,,,"Nilda Home has been welcoming Booking.com guests since Jul 31, 2018",,"https://www.booking.com/hotel/lk/nilda-home.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=d5f8444aaab00192&srepoch=1536313366&highlighted_blocks=387656901_122345339_10_0_0&all_sr_blocks=387656901_122345339_10_0_0&room1=A,A&hpos=43&hapos=593&dest_type=city&dest_id=-2213252&srfid=848f466b13cd1a0fc5e9b8ffe776a33bfc5e186cX593&from=searchresults
;highlight_room=;spdest=ci/-2213252;spdist=19.1#hotelTmpl"
