,HotelAddress,HotelDetailedFacilities,HotelGeoCoordinates,HotelName,HotelPopularFacilities,HotelPrices,HotelReviewScore,HotelReviewText,HotelReviews,HotelSince,HotelStars,URL
0,"Nadugala, 81092 Matara, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Kitchen': ['Dining table', 'Cleaning products', 'Oven', 'Kitchenware', 'Electric kettle', 'Washing machine', 'Microwave', 'Refrigerator'], 'Bedroom': ['Wardrobe/Closet'], 'Bathroom': ['Towels', 'Bidet', 'Bathrobe', 'Hairdryer', 'Bathtub', 'Shower', 'Toilet paper', 'Linens'], 'Living Area': ['Dining area', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Satellite channels', 'TV'], 'Room Amenities': ['Mosquito net', 'Iron', 'Drying rack for clothing', 'Hardwood/Parquet floors', 'Tile/Marble floor', 'Ironing facilities', 'Safe'], 'Pets': ['Pets are not allowed.'], 'Outdoors': ['Terrace', 'Barbecue', 'BBQ Facilities\n\n(additional charge)', 'Balcony', 'Garden'], 'Food & Drink': ['Tea/Coffee maker'], 'Transportation': ['Airport Shuttle (additional charge)'], 'Outdoor & View': ['Landmark view', 'Garden view'], 'Cleaning Services': ['Suit Press'], 'Miscellaneous': ['Air Conditioning', 'Family Rooms', 'Non-smoking Rooms']}","80.4520413279533,5.942738,80.6473726720467,6.019996","""Kedella"" Villa","['Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi']","['48,594']",8.9,,,"""Kedella"" Villa has been welcoming Booking.com guests since Feb 22, 2018",,"https://www.booking.com/hotel/lk/quot-kedella-quot-villa.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=306017601_112122674_10_0_0&all_sr_blocks=306017601_112122674_10_0_0&room1=A,A&hpos=15&hapos=65&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X65&from=searchresults
;highlight_room=#hotelTmpl"
1,"Colombo - Galle - Hambantota - Wellawaya Road Mirissa, 81740 Matara, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Towels/Sheets (extra fee)', 'Slippers', 'Bathrobe', 'Shower'], 'View': ['Garden view', 'Ocean view', 'View'], 'Outdoors': ['Outdoor furniture', 'Balcony', 'Garden'], 'Kitchen': ['Dining table', 'Kitchenware', 'Electric kettle', 'Refrigerator'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Diving\n\n(additional charge)'], 'Living Area': ['Dining area', 'Sitting area'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Daily Housekeeping', 'Airport Shuttle (additional charge)', 'Baggage Storage', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Baby safety gates'], 'General': ['Air Conditioning', 'Mosquito net', 'Tile/Marble floor', 'Fan', 'Family Rooms', 'Iron']}","80.4505591669923,5.92337841521724,80.4867506941909,5.95930924836344",Arc view,"['Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi']","['5,669']",7.3,,,"Arc view has been welcoming Booking.com guests since Mar 18, 2018",,"https://www.booking.com/hotel/lk/arc-view.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=323853601_114679859_2_0_0&all_sr_blocks=323853601_114679859_2_0_0&room1=A,A&hpos=16&hapos=66&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X66&from=searchresults
;highlight_room=#hotelTmpl"
2,"Habour Road,Mirissa South,Mirissa. 10/5,Spices House,Mirissa South,Mirissa., 81740 Matara, Sri Lanka","{'Bathroom': ['Walk-in Shower', 'Toilet paper', 'Towels', 'Bidet', 'Towels/Sheets (extra fee)', 'Bathtub or shower', 'Free toiletries', 'Shower'], 'Bedroom': ['Extra long beds (> 6.5 ft)'], 'View': ['Garden view', 'View'], 'Outdoors': ['Outdoor Furniture', 'Terrace', 'Garden'], 'Kitchen': ['Shared Kitchen', 'Dining table', 'Cleaning products'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Cooking Class\n\n(additional charge)', 'Tour or Class About Local Culture\n\n(additional charge)', 'Bike Tours\n\n(additional charge)', 'Nightclub/DJ\n\n(additional charge)', 'Snorkeling\n\n(additional charge)', 'Diving\n\n(additional charge)', 'Bicycle Rental (additional charge)', 'Fishing\n\n(additional charge)'], 'Food & Drink': ['Chocolate/Cookies\n\n(additional charge)', 'Fruit', 'Bottle of Water\n\n(additional charge)', 'Wine/Champagne\n\n(additional charge)', 'Breakfast in the Room', 'Tea/Coffee maker'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree public parking is available  at a location nearby (reservation is needed).', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Lockers', 'Private Check-in/Check-out', 'Currency Exchange', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Entertainment & Family Services': [""Kids' TV Networks""], 'Cleaning Services': ['Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)'], 'General': ['Shuttle Service', 'Grocery Deliveries', 'Shared Lounge/TV Area', 'Shuttle Service (additional charge)', 'Electric blankets', 'Designated Smoking Area', 'Air Conditioning', 'All Spaces Non-Smoking (public and private)', 'Mosquito net', 'Car Rental', 'Soundproof Rooms', 'Fan', 'Family Rooms', 'Airport Shuttle', 'Non-smoking Rooms', 'Iron', 'Safe', 'Room Service']}","80.2494835853577,5.88001088473672,80.6595964146423,6.01990911526328",Suriya Guest Mirissa,"['Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Exceptional Breakfast', 'Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Exceptional Breakfast']","['2,794']",9.9,Exceptional,32 reviews,"Suriya Guest Mirissa has been welcoming Booking.com guests since Aug 19, 2017",,"https://www.booking.com/hotel/lk/suriya-guest.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=263033101_106787599_2_41_0&all_sr_blocks=263033101_106787599_2_41_0&room1=A,A&hpos=17&hapos=67&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X67&from=searchresults
;highlight_room=#hotelTmpl"
3,"induwara house,palawatta, 81000 Matara, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Free toiletries', 'Shower'], 'View': ['Garden view'], 'Outdoors': ['Outdoor dining area', 'Outdoor furniture', 'BBQ Facilities\n\n(additional charge)', 'Patio', 'Terrace'], 'Kitchen': ['Shared Kitchen', 'Dining table', 'Cleaning products', 'Kitchenware', 'Electric kettle', 'Refrigerator'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Accessibility': ['Toilet With Grab Rails', 'Entire unit wheelchair accessible', 'Entire unit located on ground floor'], 'Living Area': ['Dining area', 'Sitting area'], 'Food & Drink': ['Special Diet Meals (upon request)'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  at a location nearby (reservation is not needed).', 'Street Parking'], 'Services': ['Shared Lounge/TV Area'], 'Front Desk Services': ['Baggage Storage', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Books, DVDs or music for children', 'Board games/puzzles'], 'Cleaning Services': ['Daily Housekeeping', 'Laundry\n\n(additional charge)'], 'General': ['Shuttle Service', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Hypoallergenic', 'Air Conditioning\n\n(additional charge)', 'Mosquito net', 'Wake-up service', 'Heating', 'Tile/Marble floor', 'Soundproof', 'Fan', 'Family Rooms', 'Ironing facilities', 'Non-smoking Rooms']}","80.4672449538508,5.92981434370202,80.564194,5.948243",Induwara House,"['Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Breakfast', 'Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Breakfast', 'Beach nearby']","['3,564']",10,Cleanliness,1 review,"Induwara House has been welcoming Booking.com guests since Mar 20, 2017",,"https://www.booking.com/hotel/lk/induwara-house.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=224751701_98844493_2_2_0&all_sr_blocks=224751701_98844493_2_2_0&room1=A,A&hpos=18&hapos=68&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X68&from=searchresults
;highlight_room=#hotelTmpl"
4,""" Gajamini "" kurunduwatta, thalpavila, dondra, matara, sri lanka., 81000 Matara, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Kitchen': ['High chair', 'Dining table', 'Cleaning products', 'Kitchenware', 'Washing machine', 'Refrigerator'], 'Bathroom': ['Towels', 'Towels/Sheets (extra fee)', 'Toilet paper', 'Guest bathroom', 'Private bathroom'], 'Living Area': ['Dining area', 'Sofa', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'TV', 'Pay-per-view channels'], 'Room Amenities': ['Mosquito net', 'Fan', 'Iron', 'Sofa bed', 'Drying rack for clothing', 'Tile/Marble floor', 'Private entrance', 'Ironing facilities'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Toilet With Grab Rails', 'Entire unit located on ground floor'], 'Outdoors': ['Outdoor dining area', 'Outdoor furniture'], 'Food & Drink': ['Tea/Coffee maker'], 'Building Characteristics': ['Private apartment in building'], 'Transportation': ['Shuttle Service', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Car Rental', 'Bicycle Rental (additional charge)'], 'Outdoor & View': ['Garden view'], 'Entertainment & Family Services': ['Baby safety gates'], 'Cleaning Services': ['Daily Housekeeping', 'Ironing Service', 'Laundry\n\n(additional charge)'], 'Miscellaneous': ['Family Rooms']}","80.4595420809346,5.93262358943806,80.7368048872554,5.95931854243635",Shalona garden,"['Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi']","['1,620']",10,Cleanliness,2 reviews,"Shalona garden has been welcoming Booking.com guests since Feb 3, 2017",,"https://www.booking.com/hotel/lk/shalona-garden.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=217064201_114013853_2_0_0&all_sr_blocks=217064201_114013853_2_0_0&room1=A,A&hpos=19&hapos=69&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X69&from=searchresults
;highlight_room=#hotelTmpl"
5,"No. 2A, 2nd Cross Road, Polhena, 81000 Matara, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Private bathroom', 'Toilet', 'Free toiletries', 'Shower'], 'View': ['Garden view'], 'Outdoors': ['Outdoor dining area', 'Terrace', 'Patio'], 'Kitchen': ['Cleaning products', 'Electric kettle', 'Refrigerator'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Living Area': ['Sitting area'], 'Food & Drink': ['Tea/Coffee maker'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Wake-up service', 'Airport Shuttle'], 'General': ['Mosquito net', 'Tile/Marble floor', 'Fan', 'Family Rooms', 'Non-smoking Rooms', 'Iron']}","80.4900110234681,5.92985502700116,80.564194,5.948243",Sun&Sea Sri Lanka,"['Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Beach nearby']","['1,944', '2,430']",,,,"Sun&Sea Sri Lanka has been welcoming Booking.com guests since Apr 23, 2018",,"https://www.booking.com/hotel/lk/sun-amp-sea-sri-lanka.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=339094101_116525404_2_0_0&all_sr_blocks=339094101_116525404_2_0_0&room1=A,A&hpos=20&hapos=70&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X70&from=searchresults
;highlight_room=#hotelTmpl"
6,"Tangalle Road Madda wattha, Matara, 81400 Matara, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Parking Garage'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Kitchen': ['Washing machine'], 'Bedroom': ['Wardrobe/Closet'], 'Bathroom': ['Toilet paper', 'Additional bathroom'], 'Living Area': ['Sitting area'], 'Room Amenities': ['Mosquito net', 'Fan', 'Hot tub', 'Drying rack for clothing', 'Tile/Marble floor'], 'Pets': ['Pets are not allowed.'], 'Outdoors': ['Balcony'], 'Building Characteristics': ['Private apartment in building'], 'Transportation': ['Car Rental', 'Bicycle Rental (additional charge)'], 'Outdoor & View': ['Mountain view', 'Garden view', 'View'], 'Miscellaneous': ['Air Conditioning', 'Family Rooms', 'Non-smoking Rooms']}","80.5177366733551,5.93652242693102,80.6187379360199,5.94961203042985",Sarasavi resort,"['Free Parking', 'Free WiFi', 'Family Rooms', 'Free Parking', 'Free WiFi', 'Family Rooms', 'Beach nearby']","['17,008']",8.7,Excellent,52 reviews,"Sarasavi resort has been welcoming Booking.com guests since Dec 6, 2017",,"https://www.booking.com/hotel/lk/sarasavi-resort.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=289370701_108844993_6_2_0&all_sr_blocks=289370701_108844993_6_2_0&room1=A,A&hpos=21&hapos=71&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X71&from=searchresults
;highlight_room=#hotelTmpl"
7,"Kotawela road, 81700 Matara, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Internet': ['Free!\nWired internet is available in the hotel rooms and is free of charge.'], 'Kitchen': ['High chair', 'Dining table', 'Coffee machine', 'Cleaning products', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Washing machine', 'Microwave', 'Refrigerator'], 'Bathroom': ['Towels', 'Towels/Sheets (extra fee)', 'Slippers', 'Bathrobe', 'Hairdryer', 'Bathtub', 'Shower', 'Toilet paper', 'Linens', 'Guest bathroom'], 'Living Area': ['Dining area', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'Cable channels', 'Video games', 'Telephone', 'TV', 'Computer', 'Laptop safe', 'Video'], 'Room Amenities': ['Mosquito net', 'Fan', 'Iron', 'Drying rack for clothing', 'Hypoallergenic', 'Ironing facilities', 'Safe'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Toilet With Grab Rails'], 'Outdoors': ['Outdoor dining area', 'Outdoor furniture', 'Terrace', 'Patio', 'Balcony'], 'Food & Drink': ['Minibar', 'Tea/Coffee maker'], 'Services & Extras': ['Wake-up service'], 'Building Characteristics': ['Semi-detached'], 'Outdoor & View': ['City view', 'View'], 'Transportation': ['Car Rental'], 'Entertainment & Family Services': ['Baby safety gates', 'Books, DVDs or music for children', 'Board games/puzzles', 'Child safety socket covers']}","80.3662191085061,6.06470824073912,80.4024200387754,6.10063907388532",Alakamandawa,"['Free Parking', 'Free Parking']","['21,867']",,,,"Alakamandawa has been welcoming Booking.com guests since Apr 3, 2017",,"https://www.booking.com/hotel/lk/alakamandawa.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=227708701_99405473_15_0_0&all_sr_blocks=227708701_99405473_15_0_0&room1=A,A&hpos=22&hapos=72&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X72&from=searchresults
;highlight_room=#hotelTmpl"
8,"No: 694 8B SK Town, Maddawaththa,, 81000 Matara, Sri Lanka","{'Bathroom': ['Toilet paper'], 'Bedroom': ['Walk-in closet', 'Extra long beds (> 6.5 ft)'], 'View': ['Ocean view'], 'Outdoors': ['Sun Deck', 'Barbecue', 'BBQ Facilities\n\n(additional charge)', 'Garden'], 'Kitchen': ['Shared Kitchen', 'Dining table', 'Dryer', 'Washing machine'], 'Room Amenities': ['Drying rack for clothing'], 'Health & Wellness Facilities': ['Massage\n\n(additional charge)'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Activities': ['Evening Entertainment\n\n(additional charge)', 'Water Sports Facilities (on site)\n\n(additional charge)', 'Bicycle Rental (additional charge)', 'Playground'], 'Living Area': ['Dining area', 'Sitting area'], 'Food & Drink': ['Special Diet Meals (upon request)', 'Snack Bar', 'Breakfast in the Room', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Front Desk Services': ['Lockers', 'Private Check-in/Check-out', 'Concierge Service', 'Ticket Service', 'Tour Desk', 'Currency Exchange', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Babysitting/Child Services\n\n(additional charge)'], 'Cleaning Services': ['Daily Housekeeping', 'Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'General': ['Shuttle Service', 'Grocery Deliveries\n\n(additional charge)', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Air Conditioning', 'Car Rental', 'Packed Lunches', 'Chapel/Shrine', 'Safe\n\n(additional charge)', 'Honeymoon Suite', 'Fan', 'Ironing facilities', 'Iron', 'Safe', 'Room Service']}","80.549818405142,5.92388388862757,80.5860099655702,5.95981472177376",Moon Bridge Beach Resort,"['Airport Shuttle', 'Free Parking', 'Free WiFi', 'Restaurant', 'Breakfast', 'Airport Shuttle', 'Free Parking', 'Free WiFi', 'Restaurant', 'Breakfast', 'Beach nearby']","['4,859', '6,479']",8.3,Cleanliness,3 reviews,"Moon Bridge Beach Resort has been welcoming Booking.com guests since Jan 4, 2017",,"https://www.booking.com/hotel/lk/moon-bridge-beach-resort.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=210760301_96286123_2_2_0&all_sr_blocks=210760301_96286123_2_2_0&room1=A,A&hpos=23&hapos=73&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X73&from=searchresults
;highlight_room=#hotelTmpl"
9,"sithmi,kirinugewaththa,halpandeniya,polwathumodara,mirissa, 81000 Matara, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Kitchen': ['Cleaning products', 'Dryer', 'Kitchenware', 'Electric kettle', 'Washing machine', 'Microwave', 'Refrigerator'], 'Bedroom': ['Walk-in closet', 'Extra long beds (> 6.5 ft)'], 'Bathroom': ['Towels', 'Towels/Sheets (extra fee)', 'Free toiletries', 'Shower', 'Toilet paper', 'Linens', 'Guest bathroom'], 'Living Area': ['Sitting area'], 'Media & Technology': ['Telephone', 'TV', 'Computer'], 'Room Amenities': ['Mosquito net', 'Fan', 'Iron', 'Drying rack for clothing', 'Tile/Marble floor', 'Ironing facilities', 'Safe'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Toilet With Grab Rails', 'Entire unit located on ground floor'], 'Outdoors': ['Sun Deck', 'Garden'], 'Common Areas': ['Shared Lounge/TV Area'], 'Food & Drink': ['Grocery Deliveries\n\n(additional charge)', 'Packed Lunches', 'Breakfast in the Room', 'Room Service', 'Minibar'], 'Activities': ['Cycling'], 'Services & Extras': ['Wake-up service'], 'Outdoor & View': ['Garden view'], 'Transportation': ['Shuttle Service', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Car Rental', 'Bicycle Rental (additional charge)'], 'Entertainment & Family Services': ['Baby safety gates'], 'Cleaning Services': ['Daily Housekeeping', 'Laundry\n\n(additional charge)'], 'Miscellaneous': ['Adults Only', 'Air Conditioning\n\n(additional charge)', 'Heating', 'Family Rooms', 'Non-smoking Rooms']}","80.5247270724609,5.93659,80.5845901706383,5.97029868967914",Sithmi Villa,"['Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Airport Shuttle', 'Free Parking', 'Family Rooms', 'Free WiFi', 'Beach nearby']","['11,339']",8.8,,,"Sithmi Villa has been welcoming Booking.com guests since Jun 4, 2017",,"https://www.booking.com/hotel/lk/sithmi-villa.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=5cad46216740013e&srepoch=1536314307&highlighted_blocks=239863401_101567505_14_0_0&all_sr_blocks=239863401_101567505_14_0_0&room1=A,A&hpos=24&hapos=74&dest_type=city&dest_id=-2228033&srfid=4b3b93ba78958c92812374632f1cb238dab31de1X74&from=searchresults
;highlight_room=#hotelTmpl"
