,HotelAddress,HotelDetailedFacilities,HotelGeoCoordinates,HotelName,HotelPopularFacilities,HotelPrices,HotelReviewScore,HotelReviewText,HotelReviews,HotelSince,HotelStars,URL
0,"112 Gabada Road Inginiyagala, 91040 Ampara, Sri Lanka","{'Bathroom': ['Private bathroom'], 'Outdoors': ['Terrace', 'Garden'], 'Health & Wellness Facilities': ['Open-air Bath'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Cooking Class\n\n(additional charge)', 'Bike Tours\n\n(additional charge)', 'Walking Tours\n\n(additional charge)', 'Cycling', 'Bicycle Rental (additional charge)', 'Fishing\n\n(additional charge)'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', 'Breakfast in the Room'], 'Internet': ['No internet access available.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Services': ['Car Rental', 'Room Service'], 'General': ['Air Conditioning', 'Family Rooms']}","81.4990291837902,7.2296684,81.8577428162098,7.3500516",Charitha Rest,[],"['3,232', '4,040']",10,Cleanliness,2 reviews,"Charitha Rest has been welcoming Booking.com guests since Jul 9, 2018",,"https://www.booking.com/hotel/lk/charitha-rest.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=376939801_120423016_2_2_0&all_sr_blocks=376939801_120423016_2_2_0&room1=A,A&hpos=1&hapos=1&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X1&from=searchresults
;highlight_room=#hotelTmpl"
1,"C333, Eragama Road Amapara, 32000 Ampara, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Bidet', 'Towels/Sheets (extra fee)', 'Bathtub or shower', 'Private bathroom', 'Toilet', 'Hairdryer', 'Shower'], 'View': ['View'], 'Outdoors': ['Outdoor dining area', 'Garden'], 'Room Amenities': ['Drying rack for clothing'], 'Accessibility': ['Entire unit located on ground floor'], 'Pets': ['Pets are not allowed.'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'General': ['Air Conditioning\n\n(additional charge)', 'Mosquito net', 'Tile/Marble floor', 'Fan', 'Ironing facilities', 'Non-smoking Rooms'], 'Languages Spoken': ['Korean', 'English']}","81.5205011837902,7.2296684,81.8577428162098,7.3484316",SUN DUE Residences,[],"['1,939', '1,551', '2,101', '1,681', '3,555']",8.9,Excellent,20 reviews,"SUN DUE Residences has been welcoming Booking.com guests since Sept 17, 2017",,"https://www.booking.com/hotel/lk/dinesh.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=269865003_106100320_2_0_0&all_sr_blocks=269865003_106100320_2_0_0&room1=A,A&hpos=2&hapos=2&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X2&from=searchresults
;highlight_room=#hotelTmpl"
2,"2/A,Rathnapriya Church Road,Iginiyagala Near The Round The Board Iginiyagala, 91040 Ampara, Sri Lanka","{'Parking': ['Free!\nFree public parking is available  on site (reservation is needed).', 'Parking Garage', 'Street Parking', 'Secured Parking'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Kitchen': ['Dining table', 'Cleaning products', 'Oven', 'Kitchenware', 'Electric kettle', 'Washing machine', 'Microwave'], 'Bathroom': ['Towels', 'Slippers', 'Shower', 'Toilet paper', 'Private bathroom', 'Toilet'], 'Living Area': ['Dining area', 'Sofa', 'Sitting area'], 'Media & Technology': ['Flat-screen TV', 'DVD Player', 'Telephone', 'TV', 'Laptop safe'], 'Room Amenities': ['Mosquito net', 'Soundproof', 'Fan', 'Iron', 'Drying rack for clothing', 'Tile/Marble floor', 'Private entrance', 'Safe'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Outdoors': ['Picnic Area', 'Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'Garden'], 'Food & Drink': ['Special Diet Meals (upon request)', 'Packed Lunches', 'Breakfast in the Room', 'Room Service'], 'Activities': ['Fishing'], 'Services & Extras': ['Wake-up service'], 'Building Characteristics': ['Private apartment in building'], 'Transportation': ['Bikes Available (free)', 'Car Rental', 'Bicycle Rental (additional charge)'], 'Outdoor & View': ['Mountain view', 'Garden view'], 'Front Desk Services': ['Newspapers\n\n(additional charge)', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Baby safety gates', 'Child safety socket covers', 'Playground', 'Babysitting/Child Services'], 'Cleaning Services': ['Daily Housekeeping', 'Shoeshine\n\n(additional charge)', 'Ironing Service\n\n(additional charge)', 'Dry Cleaning\n\n(additional charge)', 'Laundry'], 'Miscellaneous': ['Pet Bowls', 'Pet Basket', 'Designated Smoking Area', 'Air Conditioning\n\n(additional charge)', 'Soundproof Rooms', 'Family Rooms']}","81.605842172749,7.2371955834269,81.642129827251,7.2731264165731",Rathnapriya Safari Guest Galoya,[],"['3,030']",,,,"Rathnapriya Safari Guest Galoya has been welcoming Booking.com guests since Aug 29, 2018",,"https://www.booking.com/hotel/lk/rathnapriya-safari-guest-galoya.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=396576501_123454716_6_42_0&all_sr_blocks=396576501_123454716_6_42_0&room1=A,A&hpos=3&hapos=3&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X3&from=searchresults
;highlight_room=#hotelTmpl"
3,"kp 66 , Navagampura RD  1st Avenue, 32000 Ampara, Sri Lanka","{'Bathroom': ['Towels', 'Private bathroom', 'Toilet', 'Free toiletries', 'Shower'], 'View': ['Garden view'], 'Outdoors': ['Sun Deck', 'BBQ Facilities', 'Garden'], 'Kitchen': ['Shared Kitchen', 'Cleaning products', 'Kitchenware', 'Electric kettle'], 'Pets': ['Free!\nPets are allowed on request. No extra charges.'], 'Activities': ['Evening Entertainment', 'Diving\n\n(additional charge)', 'Cycling', 'Hiking'], 'Living Area': ['Dining area', 'Sofa'], 'Media & Technology': ['TV'], 'Food & Drink': ['Special Diet Meals (upon request)', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Shared Lounge/TV Area', 'Private Check-in/Check-out', 'Wake-up service', 'Tour Desk', 'Car Rental', 'Currency Exchange', 'Laundry\n\n(additional charge)', '24-Hour Front Desk', 'Room Service'], 'Entertainment & Family Services': ['Board games/puzzles'], 'General': ['Mosquito net', 'Fan', 'Ironing facilities', 'Iron', 'Newspapers']}","81.6077349,7.2296684,81.777514476297,7.35936798577804",Ariyawan Rest,[],"['3,232', '5,414', '7,595', '9,777', '5,656', '6,044', '7,110', '8,565', '10,019', '4,040', '4,051', '4,767', '5,494', '6,222', '11,312', '13,413', '15,514', '17,614', '8,888', '9,938', '10,989', '12,039', '6,464', '8,646', '10,827', '13,009', '32,320', '43,228', '54,136', '65,044']",6.2,Review score,14 reviews,"Ariyawan Rest has been welcoming Booking.com guests since Jul 21, 2015",2 stars,"https://www.booking.com/hotel/lk/ariyawan-rest.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=143919405_99872919_0_0_0&all_sr_blocks=143919405_99872919_0_0_0&room1=A,A&hpos=4&hapos=4&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X4&from=searchresults
;highlight_room=#hotelTmpl"
4,"NO 430,Beach Road,Sainthamaruthu. Kalmunai, 32280 Ampara, Sri Lanka","{'Outdoors': ['Beachfront', 'Sun Deck', 'Private Beach Area', 'BBQ Facilities', 'Terrace', 'Garden'], 'Health & Wellness Facilities': ['Hot Spring Bath'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Activities': ['Beach', 'Bikes Available (free)', 'Cycling', 'Bicycle Rental (additional charge)', 'Playground', 'Fishing'], 'Food & Drink': ['Special Diet Meals (upon request)', 'Snack Bar', 'Breakfast in the Room', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Front Desk Services': ['Private Check-in/Check-out', 'Concierge Service', 'Baggage Storage', 'Ticket Service', 'Tour Desk', 'Currency Exchange', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Babysitting/Child Services'], 'Cleaning Services': ['Suit Press', 'Shoeshine', 'Ironing Service', 'Dry Cleaning', 'Laundry'], 'Business Facilities': ['Fax/Photocopying', 'Meeting/Banquet Facilities'], 'General': ['Shuttle Service', 'Grocery Deliveries', 'Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Vending Machine (snacks)', 'Vending Machine (drinks)', 'Shuttle Service (additional charge)', 'Designated Smoking Area', 'Air Conditioning', 'Shops (on site)', 'Car Rental', 'Packed Lunches', 'Chapel/Shrine', 'Soundproof Rooms', 'Facilities for Disabled Guests', 'Non-smoking Rooms', 'Newspapers', 'Room Service']}","81.6926246881485,7.19575467035942,81.9943477213383,7.59478612929606",Sea Breeze Guest Inn,[],"['2,101', '3,717']",5.7,Review score,7 reviews,"Sea Breeze Guest Inn has been welcoming Booking.com guests since Oct 17, 2017",,"https://www.booking.com/hotel/lk/sea-breeze-guest-inn.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=190539702_109399740_2_2_0&all_sr_blocks=190539702_109399740_2_2_0&room1=A,A&hpos=5&hapos=5&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X5&from=searchresults
;highlight_room=#hotelTmpl"
5,"No117/33, Near The WildLife sercuite Siyambalanduwa Road , Eggaloya, Damana, 32014 Ampara, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Private bathroom'], 'View': ['Lake view'], 'Outdoors': ['Garden'], 'Pets': ['Pets are not allowed.'], 'Internet': ['No internet access available.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'General': ['Air Conditioning']}","81.6037867317334,7.1483565834269,81.6400672682666,7.1842874165731",ELEPHANT VIEW HOTEL,[],"['3,070', '3,555', '1,519']",,,,"ELEPHANT VIEW HOTEL has been welcoming Booking.com guests since Sept 5, 2018",,"https://www.booking.com/hotel/lk/elephant-view-ampara1.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=402304503_123837881_2_0_0&all_sr_blocks=402304503_123837881_2_0_0&room1=A,A&hpos=6&hapos=6&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X6&from=searchresults
;highlight_room=#hotelTmpl"
6,"No 117/33 , Near The Eggaloya Tank, Monaragala - Ampara Main Road, Eggaloya, Damana,, 32000 Ampara, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Private bathroom', 'Bathtub'], 'Pets': ['Pets are not allowed.'], 'Internet': ['No internet access available.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'General': ['Air Conditioning']}","81.4536962452231,7.2105425834269,81.4899817547769,7.2464734165731",Elephant view hotel,[],"['1,519', '3,030', '3,555']",,,,"Elephant view hotel has been welcoming Booking.com guests since Sept 4, 2018",,"https://www.booking.com/hotel/lk/elephant-view-ampara.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=402053603_123792404_2_2_0&all_sr_blocks=402053603_123792404_2_2_0&room1=A,A&hpos=7&hapos=7&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X7&from=searchresults
;highlight_room=#hotelTmpl"
7,"Hingurana Road hingurana,ampara, 32015 Hingurana, Sri Lanka","{'Outdoors': ['Outdoor Fireplace', 'Picnic Area', 'Outdoor Furniture', 'Sun Deck', 'Terrace', 'Garden'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Evening Entertainment'], 'Food & Drink': ['Fruit', 'Bottle of Water'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['No parking available.'], 'Services': ['Grocery Deliveries', 'Shared Lounge/TV Area', 'ATM On Site', 'Packed Lunches', '24-Hour Front Desk', 'Room Service'], 'Entertainment & Family Services': ['Baby Safety Gates', ""Kids' Outdoor Play Equipment""], 'General': ['Air conditioning']}","81.6523723118517,7.16481860711098,81.6926246881485,7.29451819288902",Gambeera Guest & Rest,[],"['2,780', '3,838', '4,557']",8.9,Excellent,8 reviews,"Gambeera Guest & Rest has been welcoming Booking.com guests since Mar 16, 2017",,"https://www.booking.com/hotel/lk/gambeera-geust-amp-rest.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=221309604_110226684_2_0_0&all_sr_blocks=221309604_110226684_2_0_0&room1=A,A&hpos=8&hapos=8&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X8&from=searchresults
;highlight_room=;spdest=ci/-2212407;spdist=6.8#hotelTmpl"
8,"Beach Road, Addalaichenai-6, 32350 Addalachenai, Sri Lanka","{'Bathroom': ['Toilet paper', 'Bathtub or shower', 'Slippers', 'Private bathroom', 'Toilet', 'Free toiletries', 'Bathtub', 'Shower'], 'Bedroom': ['Walk-in closet', 'Extra long beds (> 6.5 ft)'], 'View': ['Garden view', 'Ocean view', 'View'], 'Outdoors': ['Beachfront', 'Sun Deck', 'Balcony', 'Garden'], 'Kitchen': ['Cleaning products'], 'Pets': ['Pets are allowed. Charges may apply.'], 'Activities': ['Beach', 'Fishing'], 'Internet': ['No internet access available.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Car Rental', 'Ironing Service', '24-Hour Front Desk', 'Room Service'], 'General': ['Air Conditioning\n\n(additional charge)', 'Tile/Marble floor', 'Soundproof', 'Private entrance', 'Fan', 'Safe']}","81.8455179102019,7.23301133194142,81.8818052274323,7.26894216508762",Beach Guest House Addalaichenai,[],"['2,909', '2,909', '4,363', '4,363']",7.4,Good,5 reviews,"Beach Guest House Addalaichenai has been welcoming Booking.com guests since Feb 23, 2016",,"https://www.booking.com/hotel/lk/beach-guest-house-addalaichenai.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=168881503_92897137_2_0_0&all_sr_blocks=168881503_92897137_2_0_0&room1=A,A&hpos=9&hapos=9&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X9&from=searchresults
;highlight_room=;spdest=ci/-2212407;spdist=21.5#hotelTmpl"
9,"No.72, Addapalam, Ninthavur, 32340 Addaippallam, Sri Lanka","{'Bedroom': ['Extra long beds (> 6.5 ft)'], 'View': ['View'], 'Outdoors': ['Outdoor Furniture', 'Sun Deck', 'BBQ Facilities\n\n(additional charge)', 'Terrace', 'Garden'], 'Kitchen': ['Electric kettle'], 'Pool and Spa': ['Swimming Pool', ""Kids' Pool"", 'Pool Towels', 'Outdoor Pool', 'Hot Tub/Jacuzzi'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Walking Tours'], 'Media & Technology': ['Flat-screen TV'], 'Food & Drink': ['Bottle of Water', 'Restaurant', 'Very Good Coffee!'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Services': ['Grocery Deliveries', 'Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Tour Desk', 'Laundry\n\n(additional charge)', '24-Hour Front Desk', 'Meeting/Banquet Facilities\n\n(additional charge)', 'Room Service'], 'General': ['Air Conditioning', 'Family Rooms', 'Ironing facilities', 'Non-smoking Rooms', 'Newspapers']}","81.6724985000001,7.19575467035942,82.0429871324195,7.44683466266357",Thompukandam Village Resort,[],"['17,776', '7,272', '14,544']",8.9,Excellent,12 reviews,"Thompukandam Village Resort has been welcoming Booking.com guests since Nov 4, 2013",,"https://www.booking.com/hotel/lk/thompukandam-village-resort.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=f16943dde856037b&srepoch=1536313147&highlighted_blocks=73090704_109455879_0_1_0&all_sr_blocks=73090704_109455879_0_1_0&room1=A,A&hpos=10&hapos=10&dest_type=city&dest_id=-2212407&srfid=743e9e5c77d6a1815df5e71a799526034dfb0241X10&from=searchresults
;highlight_room=;spdest=ci/-2212407;spdist=20.7#hotelTmpl"
