,HotelAddress,HotelDetailedFacilities,HotelGeoCoordinates,HotelName,HotelPopularFacilities,HotelPrices,HotelReviewScore,HotelReviewText,HotelReviews,HotelSince,HotelStars,URL
0,"Daluggala, pinnawala, Rambukkana. 52/c, 71100 Pinnawala, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Bidet', 'Private bathroom', 'Shower'], 'Outdoors': ['Outdoor dining area', 'Outdoor furniture', 'Terrace', 'Garden'], 'Room Amenities': ['Drying rack for clothing'], 'Health & Wellness Facilities': ['Massage\n\n(additional charge)'], 'Accessibility': ['Entire unit located on ground floor'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Cooking Class\n\n(additional charge)', 'Tour or Class About Local Culture', 'Hiking\n\nOff-site\n(additional charge)', 'Fishing\n\n(additional charge)'], 'Living Area': ['Sitting area'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water\n\n(additional charge)', ""Kids' Meals\n\n(additional charge)"", 'Special Diet Meals (upon request)', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Front Desk Services': ['Currency Exchange', '24-Hour Front Desk'], 'Cleaning Services': ['Laundry\n\n(additional charge)'], 'General': ['Shuttle Service', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Mosquito net', 'Wake-up service', 'Private entrance', 'Car Rental', 'Packed Lunches', 'Fan', 'Family Rooms', 'Facilities for Disabled Guests', 'Non-smoking Rooms', 'Room Service']}","80.368090848648,7.25182243900791,80.4206514358521,7.38614681713523",Pinnawala volunteer hotel,[],"['2,268', '2,430', '1,458']",8.0,Very Good,18 reviews,"Pinnawala volunteer hotel has been welcoming Booking.com guests since Feb 14, 2018",,"https://www.booking.com/hotel/lk/pinnawala-volunteer.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=310912101_123824111_2_1_0&all_sr_blocks=310912101_123824111_2_1_0&room1=A,A&hpos=27&hapos=127&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX127&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=19.0#hotelTmpl"
1,"Kamburadeniya, 71100 Kamburadeniya, Sri Lanka","{'Bathroom': ['Linens', 'Towels/Sheets (extra fee)', 'Shared toilet', 'Shared bathroom'], 'View': ['Garden view', 'View'], 'Outdoors': ['Outdoor Fireplace', 'Outdoor Furniture', 'Outdoor dining area', 'Outdoor furniture', 'Terrace', 'BBQ Facilities\n\n(additional charge)', 'Garden'], 'Kitchen': ['Shared Kitchen'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Activities': ['Cycling', 'Hiking\n\n(additional charge)', 'Library', 'Bicycle Rental (additional charge)', 'Playground'], 'Living Area': ['Sitting area'], 'Food & Drink': ['Breakfast in the Room'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is needed).', 'Secured Parking'], 'Front Desk Services': ['Private Check-in/Check-out', 'Baggage Storage', 'Tour Desk', 'Currency Exchange', 'Express Check-in/Check-out', '24-Hour Front Desk'], 'Entertainment & Family Services': ['Babysitting/Child Services\n\n(additional charge)'], 'Cleaning Services': ['Daily Housekeeping', 'Ironing Service\n\n(additional charge)', 'Laundry\n\n(additional charge)'], 'General': ['Shuttle Service', 'Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Mosquito net', 'Wake-up service', 'Car Rental', 'Packed Lunches', 'Fan', 'Ironing facilities', 'Non-smoking Rooms', 'Safe', 'Room Service']}","80.3836943023249,7.31059558061328,80.4199879057363,7.34652641375948",Pinnawala home stay,[],"['4,050']",7.4,Good,5 reviews,"Pinnawala home stay has been welcoming Booking.com guests since Oct 3, 2015",,"https://www.booking.com/hotel/lk/pinnawala-home-stay.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=152622101_101782960_2_1_0&all_sr_blocks=152622101_101782960_2_1_0&room1=A,A&hpos=28&hapos=128&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX128&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=18.1#hotelTmpl"
2,"Near polgahawela station, 60300 Polgahawela, Sri Lanka","{'Bathroom': ['Toilet paper', 'Toilet', 'Shower'], 'Pets': ['Pets are not allowed.'], 'Internet': ['No internet access available.'], 'Parking': ['No parking available.'], 'General': ['Air Conditioning', 'Mosquito net', 'Tile/Marble floor', 'Fan']}","80.1891489201966,7.17201695296407,80.416656,7.48925908704379",Polgahawela Rest House,[],"['2,106', '2,916']",8.2,Very Good,80 reviews,"Polgahawela Rest House has been welcoming Booking.com guests since Nov 15, 2017",,"https://www.booking.com/hotel/lk/polgahawela-rest-house.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=281756901_107287738_2_1_0&all_sr_blocks=281756901_107287738_2_1_0&room1=A,A&hpos=29&hapos=129&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX129&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=18.7#hotelTmpl"
3,"86 Kegalle Road, 71100 Rambukkana, Sri Lanka","{'Bathroom': ['Toilet paper', 'Linens', 'Towels', 'Private bathroom', 'Toilet', 'Shower'], 'Bedroom': ['Wardrobe/Closet'], 'Outdoors': ['Garden'], 'Pool and Spa': ['Swimming Pool', 'Outdoor Pool'], 'Pets': ['Free!\nPets are allowed. No extra charges.'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water', 'Special Diet Meals (upon request)', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Services': ['Daily Housekeeping', 'Ironing Service', 'Laundry'], 'General': ['Family Rooms', 'Non-smoking Rooms']}","80.3736374678244,7.3039755834269,80.4099305321757,7.3399064165731",Himmawwa Back Packers Haven,[],"['4,050', '4,050']",,,,"Himmawwa Back Packers Haven has been welcoming Booking.com guests since Apr 23, 2018",2 stars,"https://www.booking.com/hotel/lk/himmawwa-back-packers-haven.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=338557502_116460160_2_42_0&all_sr_blocks=338557502_116460160_2_42_0&room1=A,A&hpos=30&hapos=130&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX130&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=18.6#hotelTmpl"
4,"Kansalagamuwa Rambukkana, 20000 Rambukkana, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Kitchen': ['Dining table', 'Refrigerator'], 'Bathroom': ['Towels', 'Towels/Sheets (extra fee)', 'Toilet paper', 'Guest bathroom'], 'Living Area': ['Dining area', 'Sitting area'], 'Room Amenities': ['Fan', 'Iron', 'Safe'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Entire unit located on ground floor'], 'Outdoors': ['Outdoor dining area', 'Outdoor furniture', 'Terrace', 'Balcony'], 'Food & Drink': ['Grocery Deliveries\n\n(additional charge)', 'Breakfast in the Room', 'Restaurant'], 'Outdoor & View': ['City view', 'Mountain view', 'Garden view', 'View'], 'Front Desk Services': ['Baggage Storage'], 'Entertainment & Family Services': ['Baby safety gates'], 'Miscellaneous': ['Family Rooms', 'Non-smoking Rooms']}","80.3029024600983,7.150364,80.5304095399017,7.513908",Hansa Villa,[],"['1,349', '1,215']",8.8,Cleanliness,2 reviews,"Hansa Villa has been welcoming Booking.com guests since Dec 20, 2017",,"https://www.booking.com/hotel/lk/hansa-villa-rambukkana.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=293601101_109529707_2_0_0&all_sr_blocks=293601101_109529707_2_0_0&room1=A,A&hpos=31&hapos=131&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX131&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=18.1#hotelTmpl"
5,"25, Pinnawala Road, Rambukkana, 20000 Rambukkana, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Towels/Sheets (extra fee)', 'Bathtub or shower', 'Shared toilet', 'Private bathroom', 'Toilet', 'Free toiletries', 'Shower'], 'Outdoors': ['Outdoor dining area'], 'Kitchen': ['Dining table', 'Cleaning products'], 'Room Amenities': ['Drying rack for clothing'], 'Health & Wellness Facilities': ['Hot Tub/Jacuzzi'], 'Pets': ['Pets are not allowed.'], 'Living Area': ['Dining area'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water', ""Kids' Meals\n\n(additional charge)"", 'Breakfast in the Room'], 'Internet': ['Free!\nWiFi is available in the hotel rooms and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Parking Garage', 'Street Parking', 'Secured Parking'], 'Front Desk Services': ['Lockers', 'Baggage Storage', '24-Hour Front Desk'], 'Business Facilities': ['Fax/Photocopying\n\n(additional charge)', 'Business Center\n\n(additional charge)', 'Meeting/Banquet Facilities\n\n(additional charge)'], 'General': ['Grocery Deliveries\n\n(additional charge)', 'Shared Lounge/TV Area', 'Air Conditioning', 'Mosquito net', 'Tile/Marble floor', 'Private entrance', 'Packed Lunches', 'Safe', 'Family Rooms', 'Ironing facilities', 'Room Service']}","80.380783,7.267436,80.402755,7.360644",Relax Home,[],"['2,227', '2,005', '3,713', '3,342']",8.4,Very Good,25 reviews,"Relax Home has been welcoming Booking.com guests since Sept 6, 2017",,"https://www.booking.com/hotel/lk/relax-home-rambukkana.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=267126302_107895335_2_1_0&all_sr_blocks=267126302_107895335_2_1_0&room1=A,A&hpos=32&hapos=132&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX132&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=19.4#hotelTmpl"
6,"Galwala rd bathaburaya Rambukkana, 71100 Pinnawala, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Towels/Sheets (extra fee)', 'Guest bathroom', 'Bathtub or shower', 'Slippers', 'Private bathroom', 'Toilet', 'Free toiletries', 'Bathtub', 'Shower'], 'View': ['Mountain view', 'Garden view', 'View'], 'Outdoors': ['Outdoor dining area', 'Outdoor furniture', 'Balcony', 'Terrace', 'Garden'], 'Kitchen': ['Cleaning products', 'Washing machine'], 'Pets': ['Pets are not allowed.'], 'Accessibility': ['Lower Sink', 'Raised Toilet', 'Roll-in Shower', 'Adapted Bath', 'Toilet With Grab Rails'], 'Living Area': ['Dining area', 'Sitting area'], 'Food & Drink': ['Breakfast in the Room'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Parking Garage', 'Street Parking', 'Secured Parking'], 'Services': ['Private Check-in/Check-out', 'Car Rental', 'Currency Exchange', 'Ironing Service\n\n(additional charge)', 'Room Service'], 'Entertainment & Family Services': ['Baby safety gates'], 'General': ['Air Conditioning\n\n(additional charge)', 'Mosquito net', 'Tile/Marble floor', 'Private entrance', 'Fan', 'Family Rooms', 'Facilities for Disabled Guests', 'Ironing facilities', 'Non-smoking Rooms', 'Iron', 'Newspapers\n\n(additional charge)']}","80.3806819314651,7.29981189306649,80.3869360685349,7.31939210693351",Eden lodge,[],"['3,078', '3,402', '3,726']",8.7,Excellent,25 reviews,"Eden lodge has been welcoming Booking.com guests since Dec 6, 2017",,"https://www.booking.com/hotel/lk/eden-lodge.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=284898701_108843001_0_41_0&all_sr_blocks=284898701_108843001_0_41_0&room1=A,A&hpos=33&hapos=133&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX133&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=19.8#hotelTmpl"
7,"To Temple Rambukkana, 71100 Rambukkana, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Bidet', 'Slippers', 'Free toiletries', 'Bathrobe', 'Hairdryer', 'Shower'], 'Bedroom': ['Wardrobe/Closet', 'Extra long beds (> 6.5 ft)'], 'View': ['Mountain view', 'Garden view', 'View'], 'Outdoors': ['Outdoor dining area', 'Balcony'], 'Kitchen': ['Dining table', 'Cleaning products', 'Refrigerator'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Hiking\n\n(additional charge)'], 'Living Area': ['Dining area', 'Sitting area'], 'Media & Technology': ['Telephone'], 'Food & Drink': ['Tea/Coffee maker'], 'Internet': ['Free!\nWiFi is available in all areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Services': ['Grocery Deliveries', 'Daily Housekeeping', 'Baggage Storage', 'Wake-up service'], 'General': ['Mosquito net', 'Tile/Marble floor', 'Fan', 'Family Rooms', 'Facilities for Disabled Guests', 'Ironing facilities', 'Iron', 'Safe']}","80.385160446167,7.29768351253528,80.4018867015838,7.33851423912956",Pinnawala Home Stay,"['Tea/Coffee Maker in All Rooms', 'Breakfast', 'Tea/Coffee Maker in All Rooms', 'Breakfast']","['3,240']",10,Cleanliness,1 review,"Pinnawala Home Stay has been welcoming Booking.com guests since Jan 8, 2018",,"https://www.booking.com/hotel/lk/pinnawala-home-stay-rambukkana.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=286897401_108227682_2_1_0&all_sr_blocks=286897401_108227682_2_1_0&room1=A,A&hpos=34&hapos=134&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX134&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=19.0#hotelTmpl"
8,"Hasthipura, Pinnawala, Rambukkana, 71100 Rambukkana, Sri Lanka","{'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).'], 'Internet': ['No internet access available.'], 'Bathroom': ['Private bathroom'], 'Pets': ['Pets are not allowed.'], 'Outdoors': ['Garden']}","80.3640728288545,7.2950985834269,80.4003651711455,7.3310294165731",Gamini's Place,[],"['16,198']",,,,"Gamini's Place has been welcoming Booking.com guests since Aug 18, 2018",,"https://www.booking.com/hotel/lk/gamini-39-s-place-rambukkana.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=395200601_122895519_4_0_0&all_sr_blocks=395200601_122895519_4_0_0&room1=A,A&hpos=35&hapos=135&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX135&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=19.4#hotelTmpl"
9,"Negombo Road, Dampelessa, Narammala, 20001 Ambagahagedara, Sri Lanka","{'Bathroom': ['Toilet paper', 'Towels', 'Bathtub or shower', 'Private bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower'], 'View': ['Mountain view', 'Garden view', 'View'], 'Outdoors': ['Outdoor Furniture', 'Sun Deck', 'BBQ Facilities\n\n(additional charge)', 'Balcony', 'Terrace', 'Garden'], 'Kitchen': ['Dining table', 'Dryer'], 'Room Amenities': ['Drying rack for clothing'], 'Pets': ['Pets are not allowed.'], 'Activities': ['Bicycle Rental (additional charge)'], 'Food & Drink': ['Fruit\n\n(additional charge)', 'Bottle of Water', ""Kids' Meals\n\n(additional charge)"", 'Breakfast in the Room', 'Restaurant'], 'Internet': ['Free!\nWiFi is available in public areas and is free of charge.'], 'Parking': ['Free!\nFree private parking is available  on site (reservation is not needed).', 'Secured Parking'], 'Transportation': ['Airport Drop-off\n\n(additional charge)', 'Airport Pickup\n\n(additional charge)'], 'Front Desk Services': ['Currency Exchange', '24-Hour Front Desk'], 'Business Facilities': ['Meeting/Banquet Facilities\n\n(additional charge)'], 'General': ['Shuttle Service', 'Grocery Deliveries\n\n(additional charge)', 'Shared Lounge/TV Area', 'Airport Shuttle (additional charge)', 'Shuttle Service (additional charge)', 'Air Conditioning', 'Wake-up service', 'Tile/Marble floor', 'Private entrance', 'Car Rental', 'Fan', 'Family Rooms', 'Ironing facilities', 'Non-smoking Rooms', 'Iron', 'Room Service'], 'Languages Spoken': ['Japanese', 'English']}","80.023061,7.3233966687666,80.393793,7.4959373312334",ruwanara royal majestry,[],"['5,669', '2,430']",8.4,,,"ruwanara royal majestry has been welcoming Booking.com guests since May 29, 2018",,"https://www.booking.com/hotel/lk/ruwanara-royal-majestry.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGiFAYgBAZgBMcIBCndpbmRvd3MgMTDIAQzYAQHoAQH4AQKSAgF5qAID&sid=9d4d138ceaaba87ce66cde5fcb5e002b&checkin=2018-10-03&checkout=2018-10-04&ucfs=1&aer=1&srpvid=252445d162e7027a&srepoch=1536314148&highlighted_blocks=357444402_118312399_2_42_0&all_sr_blocks=357444402_118312399_2_42_0&room1=A,A&hpos=36&hapos=136&dest_type=city&dest_id=-2225895&srfid=aed0b9d3463963ce1d156a2cd212d999c694709cX136&from=searchresults
;highlight_room=;spdest=ci/-2225895;spdist=19.2#hotelTmpl"
